angDist,_RAJ2000,_DEJ2000,recno,RAJ2000,DEJ2000,Names,PGCName,FILEN,z,OV,Fam,IV,ST,T,F,CVRHS,SimbadName,NED,SDSS,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,q_mode,cl,m_SDSS,flags,ObsDate,Q,zsp,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag
0.056876,123.3575,25.1269722,143,08 13 25.80,+25 07 37.1,CGCG 119-013,23049.0,77701,0.034,,SA,(_rs),Sab,2,0.0,SA(_rs)ab,2MASX J08132578+2507373,NED,J081325.80+250737.0,123.357516,25.126966,0.044,0.036,37,,3,,0000001090021010,2002.9987,3,0.03413,17.083,0.013,15.481,0.003,14.724,0.002,14.337,0.002,14.055,0.004
0.06238,123.559,21.3554722,146,08 14 14.16,+21 21 19.7,NGC 2545,23086.0,109808,0.011,,SAB,(r),Sab,2,0.5,SAB(r)ab,NGC 2545,NED,J081414.15+212119.6,123.558985,21.355462,0.041,0.041,45,,3,,0000201810021010,2003.9707,2,,15.326,0.006,13.389,0.002,12.536,0.002,12.144,0.002,11.871,0.002
0.107594,123.5711667,46.0103333,147,08 14 17.08,+46 00 37.2,MCG +08-15-053,23092.0,6959,0.05,(R1R2P),SA_B,"(r,bl)",S0/a,0,0.75,"(R1R2P)SA_B(r,bl)0/a",MCG+08-15-053,NED,J081417.08+460037.1,123.571187,46.010307,0.052,0.046,145,,3,,0000000010021010,2000.258,2,0.04989,17.599,0.024,15.664,0.003,14.799,0.003,14.368,0.002,14.041,0.005
0.031546,123.6865417,58.2798611,149,08 14 44.77,+58 16 47.5,VII Zw 221,23112.0,109644,0.027,(R),SA,(irpl),S0/a,0,0.0,(R)SA(irpl)0/a,MCG+10-12-099,NED,J081444.77+581647.4,123.686548,58.279853,0.05,0.046,52,,3,,0000001010020210,2003.9134,2,0.02753,17.639,0.02,15.815,0.003,14.955,0.002,14.542,0.003,14.191,0.004
0.054842,124.0200417,23.1340278,156,08 16 04.81,+23 08 02.5,IC 2248,23176.0,205327,0.014,(R1),SA,(r),S0+,-1,0.0,(R1)SA(r)0^+^,IC 2248,NED,J081604.80+230802.4,124.020029,23.134018,0.041,0.038,122,,3,,0000201010021030,2003.0778,2,0.01382,16.52,0.011,14.644,0.002,13.818,0.002,13.399,0.002,13.091,0.003
0.102826,124.0620417,57.7093333,158,08 16 14.89,+57 42 33.6,CGCG 287-065,23189.0,108266,0.026,(R1P),SAB,(_rs),Sb,3,0.5,(R1P)SAB(_rs)b,MCG+10-12-115,NED,J081614.90+574233.5,124.062089,57.70932,0.052,0.046,55,,3,,0000001010021030,2003.886,2,0.02646,17.252,0.023,15.254,0.003,14.391,0.002,13.97,0.002,13.714,0.004
0.199247,124.102375,2.4307778,160,08 16 24.57,+02 25 50.8,2MASX J08162456+0225506,1226741.0,195773,,(R1),SA_x,(r),Sa,1,0.0,(R1)SA_x(r)a,2MASX J08162456+0225506,NED,J081624.56+022550.9,124.102337,2.430818,0.038,0.036,0,,3,,00000008100A0010,2001.1398,2,,17.581,0.019,15.863,0.003,15.045,0.003,14.623,0.003,14.305,0.005
0.086786,124.4714167,40.7264167,167,08 17 53.14,+40 43 35.1,2MASX J08175317+4043351,2170030.0,34525,0.061,(R2P),SAB_a,(rl),Sa,1,0.5,(R2P)SAB_a(rl)a,2MASX J08175317+4043351,NED,J081753.13+404335.0,124.471411,40.726393,0.061,0.054,139,,3,,0000000010061010,2001.2871,3,0.06091,17.951,0.028,15.94,0.003,15.002,0.003,14.539,0.003,14.209,0.005
0.199046,124.6814167,47.0491667,169,08 18 43.54,+47 02 57.0,2MASX J08184353+4702571,2291483.0,6964,,(R),SA:,,S0+,-1,0.0,(R)SA:0^+^,2MASX J08184353+4702571,NED,J081843.52+470257.1,124.681358,47.049205,0.049,0.044,141,,3,,0000B000100A0014,2000.258,2,,18.052,0.033,15.758,0.003,14.79,0.003,14.314,0.002,13.931,0.005
0.151906,124.8547083,55.0972222,171,08 19 25.13,+55 05 50.0,CGCG 263-022,23343.0,107231,0.032,(R1P),S_AB,"(_rs,_rs)",Sa,1,0.25,"(R1P)S_AB(_rs,_rs)a",MCG+09-14-027,NED,J081925.13+550549.8,124.854724,55.097181,0.049,0.036,145,,3,,0000001010021110,2003.8123,3,,17.182,0.018,15.248,0.003,14.333,0.002,13.87,0.002,13.551,0.004
0.033328,125.0450833,21.0689722,174,08 20 10.82,+21 04 08.3,CGCG 119-061,23379.0,118768,0.017,(RP),SA,(s),S0/a,0,0.0,(RP)SA(s)0/a,MCG+04-20-029,NED,J082010.81+210408.2,125.045074,21.068969,0.043,0.043,0,,3,,0000901090021010,2004.2088,3,0.01737,16.916,0.02,15.132,0.003,14.309,0.002,13.901,0.002,13.582,0.004
0.063928,125.0985833,21.1314722,175,08 20 23.66,+21 07 53.3,NGC 2562,23395.0,118769,0.017,,SA0/a sp,(d),S0/a,0,0.0,SA0/a sp / E(d)3-4,NGC 2562,NED,J082023.65+210753.2,125.098565,21.131467,0.042,0.042,0,,3,,0000001010021010,2004.2088,3,0.0169,15.458,0.007,13.561,0.002,12.701,0.002,12.259,0.002,11.91,0.002
0.095985,125.1767083,54.1265556,177,08 20 42.41,+54 07 35.6,UGC 04335,23412.0,105878,0.031,(R1P),SB_a,"(p,r,bl)",Sa,1,1.0,"(R1P)SB_a(p,r,bl)a",UGC 4335,NED,J082042.40+540735.6,125.176679,54.126576,0.044,0.043,64,,3,,0000001010021010,2003.8096,3,0.031,16.496,0.017,14.517,0.002,13.65,0.002,13.215,0.002,12.892,0.004
0.004703,125.352625,19.1477778,183,08 21 24.63,+19 08 52.0,NGC 2572,23441.0,126540,0.027,(RPL),SB_a,"(r,bl)",Sa,1,1.0,"(RPL)SB_a(r,bl)a",NGC 2572,NED,J082124.63+190852.0,125.352624,19.147777,0.052,0.04,30,,3,,00000008100A1010,2004.2906,3,0.02658,16.394,0.014,14.485,0.002,13.585,0.002,13.119,0.002,12.757,0.003
0.236485,125.414375,59.415,184,08 21 39.45,+59 24 54.0,2MASX J08213945+5924535,2590197.0,108504,0.038,,SA,(r),S0/a,0,0.0,SA(r)0/a,2MASX J08213945+5924535,NED,J082139.47+592454.1,125.414476,59.415041,0.045,0.042,57,,3,,0000001010021010,2003.886,2,0.03844,17.448,0.024,15.763,0.003,14.927,0.003,14.484,0.003,14.174,0.005
0.050838,125.567625,21.0925556,185,08 22 16.23,+21 05 33.2,CGCG 119-072,23477.0,120657,0.022,(RL),SA_B,"(r,bl)",S0/a,0,0.75,"(RL)SA_B(r,bl)0/a",2MASX J08221623+2105334,NED,J082216.23+210533.2,125.56764,21.092557,0.041,0.041,45,,3,,0000001010021010,2004.2114,3,0.0223,16.722,0.013,14.803,0.002,13.98,0.002,13.567,0.002,13.234,0.003
0.076463,125.6716667,4.2624167,187,08 22 41.20,+04 15 44.7,IC 0504,23495.0,60170,0.014,,SA,(r),S0/a,0,0.0,SA(r)0/a,IC 504,NED,J082241.19+041544.7,125.671647,4.262425,0.043,0.041,11,,3,,00002008100A1010,2002.1742,3,,15.621,0.009,13.612,0.002,12.769,0.002,12.308,0.002,11.973,0.002
0.069279,125.9032083,4.3840278,191,08 23 36.77,+04 23 02.5,2MASX J08233674+0423027,3729859.0,57375,0.091,(R1),SA_B,(r),S0/a,0,0.75,(R1)SA_B(r)0/a,2MASX J08233674+0423027,NED,J082336.76+042302.4,125.90319,4.384022,0.053,0.048,6,,3,,0000000010021010,2002.1197,3,,17.379,0.016,15.888,0.003,15.14,0.003,14.762,0.003,14.486,0.005
0.020018,125.9084583,47.9409722,193,08 23 38.03,+47 56 27.5,2MASX J08233806+4756270,2307344.0,6980,0.053,(RP),SA,(_rs),Sb,3,0.0,(RP)SA(_rs)b,2MASX J08233806+4756270,NED,J082338.03+475627.4,125.908461,47.940967,0.049,0.041,143,,3,,0000100010021010,2000.258,2,0.0533,17.578,0.03,15.769,0.004,14.914,0.003,14.445,0.003,14.088,0.006
0.04721,125.9803333,20.9754722,195,08 23 55.28,+20 58 31.7,CGCG 119-082,23561.0,120556,0.016,,SB,"(r,bl)",S0+,-1,1.0,"SB(r,bl)0^+^",MCG+04-20-047,NED,J082355.28+205831.6,125.980347,20.975469,0.044,0.04,121,,3,,0000001010021010,2004.2114,3,0.01571,16.395,0.015,14.585,0.002,13.776,0.002,13.355,0.002,13.063,0.003
0.048748,126.084375,20.53325,196,08 24 20.25,+20 31 59.7,IC 2348,23589.0,128011,0.02,(R2P),SA,(r),Sb,3,0.0,(R2P)SA(r)b,IC 2348,NED,J082420.24+203159.6,126.084362,20.533244,0.054,0.049,123,,3,,0000001010021010,2004.2907,3,0.01989,17.131,0.015,15.513,0.003,14.758,0.002,14.38,0.003,14.064,0.004
0.074912,126.293125,18.5826389,201,08 25 10.35,+18 34 57.5,CGCG 089-021,23627.0,149256,0.038,(L),SA_B,(_rs),Sb,3,0.75,(L)SA_B(_rs)b:,2MASX J08251034+1834571,NED,J082510.35+183457.5,126.293142,18.582652,0.051,0.048,32,,3,,0000001010021010,2004.9484,2,0.03785,17.234,0.017,15.873,0.003,15.294,0.003,14.972,0.003,14.699,0.007
0.237577,126.3760417,-1.0832778,203,08 25 30.25,-01 04 59.8,2MASX J08253026-0104598,1127207.0,29391,0.037,(L),SAB,(_rs),S0/a,0,0.5,(L)SAB(_rs)0/a,6dFGS gJ082530.3-010500,NED,J082530.23-010459.8,126.375976,-1.083285,0.045,0.043,90,,3,,0000000010021010,2001.2133,2,,17.7,0.042,15.739,0.004,14.861,0.003,14.456,0.003,14.136,0.008
0.033815,126.4568333,8.9277778,204,08 25 49.64,+08 55 40.0,2MASX J08254961+0855401,1356387.0,187343,0.042,(R2P),SA_B,(s),S0/a,0,0.75,(R2P)SA_B(s)0/a,2MASX J08254961+0855401,NED,J082549.63+085540.0,126.456824,8.92778,0.055,0.055,0,,3,,0000001010021010,1994.2572,3,0.04226,17.731,0.019,15.859,0.003,15.007,0.002,14.604,0.002,14.276,0.004
0.108783,126.6499167,22.9509167,208,08 26 35.98,+22 57 03.3,UGC 04406,23688.0,109750,0.02,(R1R2P),S_AB,(i_rl),S0/a,0,0.25,(R1R2P)S_AB(i_rl)0/a,UGC 4406,NED,J082635.97+225703.2,126.649888,22.950902,0.047,0.044,33,,3,,0000001010021010,2003.9707,2,0.01962,16.668,0.011,14.798,0.002,13.953,0.002,13.556,0.002,13.264,0.003
0.024342,126.7748333,21.6452778,211,08 27 05.96,+21 38 43.0,UGC 04414,23700.0,118577,0.025,(R),SB,"(rs,bl)",S0/a,0,1.0,"(R)SB(rs,bl)0/a",UGC 4414,NED,J082705.96+213843.0,126.774838,21.645283,0.051,0.048,32,,3,,0000001010021210,2004.2088,3,0.0252,16.327,0.01,14.377,0.002,13.506,0.002,13.101,0.002,12.807,0.002
0.024228,126.9100833,10.4970556,214,08 27 38.42,+10 29 49.4,SDSS J082738.41+102949.3,,186428,0.066,(R),SB,(l),S0/a,0,1.0,(R)SB(l)0/a,SDSS J082738.42+102949.3,NED,J082738.42+102949.3,126.910082,10.497049,0.047,0.046,102,,3,,0000001010021210,1994.1724,3,0.06573,17.892,0.023,15.866,0.003,14.937,0.002,14.499,0.002,14.171,0.004
0.019697,127.0749583,0.2893056,217,08 28 17.99,+00 17 21.5,CGCG 004-035,23756.0,243732,0.03,(R1),SAB_a,(l),S0/a,0,0.5,(R1)SAB_a(l)0/a,2MASX J08281803+0017219,NED,J082817.98+001721.5,127.074954,0.289309,0.042,0.039,0,,3,,0000001010021210,1999.2202,2,,16.928,0.014,14.995,0.002,14.133,0.002,13.716,0.002,13.393,0.004
0.066019,127.257375,47.8005556,223,08 29 01.77,+47 48 02.0,MCG +08-16-006,23806.0,6599,0.045,(RL),SB_a,(l),Sab,2,1.0,(RL)SB_a(l)ab,MCG+08-16-006,NED,J082901.77+474801.9,127.257401,47.80055,0.049,0.038,140,,3,,0000000010021010,2000.258,2,0.04526,17.215,0.018,15.302,0.003,14.439,0.002,14.021,0.002,13.704,0.003
0.076034,127.7682917,39.62275,234,08 31 04.39,+39 37 21.9,CGCG 208-010,23895.0,47393,0.03,,SA,(r),S0+,-1,0.0,SA(r)0^+^,2MASX J08310442+3937216,NED,J083104.39+393721.9,127.768289,39.622771,0.057,0.048,138,,3,,0000000090021010,2001.9643,2,0.02974,16.934,0.016,15.067,0.002,14.221,0.002,13.815,0.002,13.493,0.003
0.029473,127.979125,4.2337778,239,08 31 54.99,+04 14 01.6,2MASX J08315501+0414016,3092140.0,57051,0.064,(RP),SA,(r),Sa,1,0.0,(RP)SA(r)a,2MASX J08315501+0414016,NED,J083154.99+041401.6,127.979125,4.233786,0.044,0.04,96,,3,,0000000010021110,2002.1198,3,0.06422,17.858,0.024,15.986,0.003,15.103,0.003,14.687,0.002,14.379,0.005
0.042188,128.0402917,22.5561389,241,08 32 09.67,+22 33 22.1,SDSS J083209.67+223322.1,4085763.0,120670,0.016,(R),SA,(rs),Sa,1,0.0,(R)SA(rs)a,NGC  2599,NED,J083209.67+223322.1,128.040304,22.556142,0.357,0.287,31,,3,,00006010100A1114,2004.2114,3,0.01622,17.932,0.118,15.729,0.01,15.055,0.009,15.407,0.035,14.47,0.018
0.046583,128.0851667,41.3589167,242,08 32 20.44,+41 21 32.1,CGCG 208-013,23948.0,48446,0.025,(R1R2P),SAB_a,(l),Sa,1,0.5,(R1R2P)SAB_a(l)a,MCG+07-18-016,NED,J083220.44+412132.0,128.08517,41.358904,0.07,0.047,135,,3,,0000000010021210,2001.9666,3,0.02509,16.662,0.009,14.966,0.002,14.264,0.002,13.921,0.002,13.668,0.003
0.105584,128.1120417,41.9920278,243,08 32 26.89,+41 59 31.3,KUG 0829+421,23953.0,48510,0.025,(RL),SB,,S0+,-1,1.0,(RL)SB_a0^+^,MCG+07-18-017,NED,J083226.88+415931.2,128.112005,41.992017,0.076,0.054,135,,3,,0000000010021010,2001.9666,3,0.0251,16.656,0.014,14.709,0.002,13.842,0.002,13.431,0.002,13.088,0.003
0.062844,128.1395,43.9792222,244,08 32 33.48,+43 58 45.2,2MASX J08323342+4358446,2233704.0,27870,0.037,(RP),SB,(r),Sb,3,1.0,(RP)SB(r)b,2MASX J08323342+4358446,NED,J083233.47+435845.1,128.139491,43.979206,0.048,0.046,135,,3,,0000000010021010,2001.1449,2,0.03736,17.468,0.028,15.996,0.004,15.361,0.003,15.031,0.004,14.798,0.012
0.055432,128.3429167,53.8322778,247,08 33 22.30,+53 49 56.2,MCG +09-14-056,23990.0,10079,0.063,(RP),SA,(irpl),Sab,2,0.0,(RP)SA(irpl)ab,MCG+09-14-056,NED,J083322.30+534956.1,128.34294,53.832271,0.049,0.041,138,,3,,0000000010021010,2000.2633,3,0.06354,17.767,0.021,15.864,0.003,14.98,0.003,14.516,0.003,14.179,0.004
0.09514,128.3782083,41.5254444,248,08 33 30.77,+41 31 31.6,UGC 04468,24002.0,48447,0.025,,ETG,(shells),....,99,9.99,ETG (shells) pec,UGC 4468,NED,J083330.76+413131.6,128.378188,41.525466,0.071,0.047,135,,3,,0000900010021010,2001.9666,3,0.02476,16.049,0.01,14.096,0.002,13.246,0.002,12.826,0.002,12.502,0.002
0.095011,128.4368333,56.8201944,249,08 33 44.84,+56 49 12.7,SDSS J083344.83+564912.6,,105901,0.026,,SA,(r),S0+,-1,0.0,SA(r)0^+^:,MCG+10-12-144,NED,J083344.84+564912.6,128.436832,56.820168,0.068,0.051,142,,3,,0000C01810061010,2003.8096,3,0.02588,16.73,0.025,15.436,0.004,14.671,0.004,14.193,0.004,13.708,0.008
0.078688,128.9020417,49.5951944,254,08 35 36.49,+49 35 42.7,MCG +08-16-015,24130.0,6815,0.042,(RP),SA_B_a,"(_rs,bl)",Sb,3,0.75,"(RP)SA_B_a(_rs,bl)b",MCG+08-16-015,NED,J083536.48+493542.7,128.902037,49.595216,0.044,0.044,135,,3,,0000000090021010,2000.258,2,0.04244,17.149,0.028,15.38,0.004,14.602,0.003,14.215,0.003,13.896,0.006
0.058752,128.911625,4.7570278,255,08 35 38.79,+04 45 25.3,2MASX J08353875+0445257,3092142.0,57418,0.014,"(R1L,R2P)",SA,(l),S0+,-1,0.0,"(R1L,R2P)SA(l)0^+^",2MASX J08353875+0445257,NED,J083538.78+044525.3,128.911609,4.757031,0.052,0.047,6,,3,,0000100010021010,2002.1198,3,0.01407,17.309,0.013,15.533,0.003,14.708,0.002,14.328,0.002,14.026,0.003
0.009757,129.1285417,4.0376667,260,08 36 30.85,+04 02 15.6,2MASX J08363085+0402158,1262541.0,59782,0.029,(R1),SA_B_a,"(l,bl)",S0/a,0,0.75,"(R1)SA_B_a(l,bl)0/a",2MASX J08363085+0402158,NED,J083630.84+040215.6,129.128539,4.037666,0.061,0.052,5,,3,,0000000090021010,2002.1742,2,0.02903,17.135,0.016,15.086,0.002,14.219,0.002,13.788,0.002,13.472,0.003
0.084116,129.312125,4.6958889,263,08 37 14.91,+04 41 45.2,ARK 171,24222.0,57420,0.047,(RP),SAB_a,(l),Sb,3,0.5,(RP)SAB_a(l)b,MCG+01-22-013,NED,J083714.90+044145.1,129.312102,4.695884,0.053,0.046,6,,3,,0000000010021010,2002.1198,3,0.047,17.229,0.016,15.449,0.003,14.648,0.002,14.234,0.002,13.95,0.004
0.097345,129.3607917,40.0356111,264,08 37 26.59,+40 02 08.2,UGC 04498,24230.0,45123,0.024,(R),S_AB_a,(rl),S0+,-1,0.25,(R)S_AB_a(rl)0^+^,UGC 4498,NED,J083726.59+400208.1,129.360821,40.035596,0.071,0.056,41,,3,,0000000810021010,2001.8903,2,0.02367,16.104,0.009,14.432,0.002,13.607,0.002,13.204,0.002,12.864,0.003
0.007618,129.5501667,54.759,266,08 38 12.04,+54 45 32.4,MCG +09-14-079,24270.0,10089,0.045,(RPL),SB,(r),Sab,2,1.0,(RPL)SB(r)ab,MCG+09-14-079,NED,J083812.04+544532.4,129.550168,54.759002,0.049,0.042,139,,3,,0000000010020010,2000.2634,3,0.04503,17.401,0.026,15.585,0.003,14.778,0.003,14.38,0.003,14.054,0.006
0.0469,129.827625,30.1020278,269,08 39 18.63,+30 06 07.3,2MASX J08391866+3006068,1890317.0,78912,0.049,(RP),SA,(r),Sa,1,0.0,(RP)SA(r)a,2MASX J08391866+3006068,NED,J083918.63+300607.3,129.82764,30.102028,0.046,0.038,38,,3,,0000001010021010,2003.0671,3,0.04913,17.48,0.028,15.96,0.004,15.3,0.003,14.955,0.003,14.701,0.009
0.048785,129.9320833,53.0138056,270,08 39 43.70,+53 00 49.7,2MASX J08394373+5300493,2429575.0,8932,0.044,(R1),SAB_a,(l),S0/a,0,0.5,(R1)SAB_a(l)0/a,2MASX J08394373+5300493,NED,J083943.70+530049.7,129.932101,53.013814,0.048,0.044,135,,3,,0000000010021010,2000.2633,3,0.04428,17.675,0.021,15.723,0.003,14.83,0.002,14.396,0.002,14.063,0.004
0.033486,130.1216667,29.4446667,273,08 40 29.20,+29 26 40.8,2MASX J08402918+2926407,1866485.0,77745,0.051,(R1),SA_B,(l),S0/a,0,0.75,(R1)SA_B(l)0/a:,2MASX J08402918+2926407,NED,J084029.20+292640.7,130.121677,29.444664,0.041,0.036,128,,3,,0000001010061010,2002.9988,3,0.05099,17.431,0.015,15.686,0.003,14.81,0.002,14.364,0.002,14.04,0.004
0.069859,130.3479167,36.3862778,277,08 41 23.50,+36 23 10.6,2MASX J08412350+3623103,3398827.0,50517,0.043,(L),SA,(r),S0+,-1,0.0,(L)SA(r)0^+^,2MASX J08412350+3623103,NED,J084123.50+362310.6,130.347925,36.386296,0.05,0.046,38,,3,,0000000010021010,2002.0243,3,0.04286,17.207,0.015,15.521,0.003,14.697,0.002,14.27,0.002,13.928,0.004
0.133106,130.598375,41.9090278,282,08 42 23.61,+41 54 32.5,CGCG 208-037,24450.0,48079,0.031,(R),SA,(rl),S0/a,0,0.0,(R)SA(rl)0/a,MCG+07-18-038,NED,J084223.61+415432.4,130.598413,41.909004,0.079,0.053,133,,3,,0000000010020010,2001.9666,2,0.03083,16.365,0.01,14.562,0.002,13.764,0.002,13.371,0.002,13.056,0.003
0.085806,130.92375,54.0263056,287,08 43 41.70,+54 01 34.7,2MASX J08434166+5401341,2457632.0,13844,0.03,(R1P),SB_a,(rl),Sa,1,1.0,(R1P)SB_a(rl)a,2MASX J08434166+5401341,NED,J084341.69+540134.6,130.923745,54.026282,0.057,0.048,138,,3,,0000000090020010,2000.3374,2,0.02986,17.507,0.035,15.844,0.004,15.054,0.003,14.665,0.003,14.373,0.007
0.221678,131.2750417,44.6065833,292,08 45 06.01,+44 36 23.7,MCG +08-16-027,24587.0,33905,0.054,,S_AB,(_rs),Sa,1,0.25,S_AB(_rs)a,MCG+08-16-027,NED,J084506.02+443623.8,131.275113,44.606618,0.106,0.062,44,,3,,0000000010021110,2001.2871,3,0.0541,17.623,0.03,15.715,0.003,14.852,0.003,14.396,0.002,14.045,0.005
0.08084,131.4077083,36.9346667,294,08 45 37.85,+36 56 04.8,UGC 04572,24620.0,50522,0.013,"(L,L)",SA,(rl),S0+,-1,0.0,"(L,L)SA(rl)0^+^",NVSS J084537+365604,NED,J084537.85+365604.7,131.407727,36.93465,0.05,0.045,40,,3,,0000000010021010,2002.0243,3,0.01313,15.381,0.005,13.981,0.002,13.33,0.002,13.015,0.002,12.757,0.002
