RAh,RAM,RAs,DE-,DEd,DEm,DEs,Names,PGCName,FILEN,z,OV,Fam,IV,ST,T,F,CVRHS,RA,coord,RAdeg,DECdeg,SDSS,RAdeg_x,DEdeg,errHalfMaj,errHalfMin,errPosAng,q_mode,cl,m_SDSS,flags,ObsDate,Q,zsp,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,angDist
8,45,6.01,+,44,36,23.7,MCG +08-16-027,24587,33905,0.054,,S_AB,(_rs),Sa,1,0.25,S_AB(_rs)a,8 45 6.01 +44 36 23.7,8 45 6.01 +44 36 23.7,131.27504166666665,44.60658333333333,J084506.02+443623.8,131.275113,44.606618,0.106,0.062,44.0,,3,,0000000010021110,2001.2871,3,0.0541,17.623,0.03,15.715,0.003,14.852,0.003,14.396,0.002,14.045,0.005,0.22168
8,45,21.21,+,3,4,59.8,2MASX J08452117+0305000,3354323,25773,0.080,(RP),S_AB,(l),Sa,1,0.25,(RP)S_AB(l)a,8 45 21.21 +3 4 59.8,8 45 21.21 +3 4 59.8,131.33837499999998,3.083277777777778,J084521.21+030459.8,131.338378,3.083287,0.041,0.036,4.0,,3,,0000000010021010,2001.1394,3,0.08031,18.754,0.034,16.861,0.004,15.934,0.003,15.496,0.003,15.144,0.007,0.034858
8,45,37.85,+,36,56,4.8,UGC 04572,24620,50522,0.013,"(L,L)",SA,(rl),S0+,-1,0.0,"(L,L)SA(rl)0^+^",8 45 37.85 +36 56 4.8,8 45 37.85 +36 56 4.8,131.40770833333332,36.934666666666665,J084537.85+365604.7,131.407727,36.93465,0.05,0.045,40.0,,3,,0000000010021010,2002.0243,3,0.01313,15.381,0.005,13.981,0.002,13.33,0.002,13.015,0.002,12.757,0.002,0.080686
8,45,46.09,+,50,42,51.7,2MASX J08454609+5042517,2380387,6614,0.115,(R),SAB,,S0+,-1,0.5,(R)SAB0^+^:,8 45 46.09 +50 42 51.7,8 45 46.09 +50 42 51.7,131.44204166666665,50.71436111111112,J084546.09+504251.6,131.442059,50.714337,0.045,0.036,135.0,,3,,0000000010020010,2000.258,2,0.115,19.058,0.054,17.232,0.006,16.294,0.004,15.812,0.004,15.459,0.008,0.095436
8,45,56.68,+,51,7,6.0,2MASX J08455670+5107058,2388673,90897,0.080,(R1P:),SB,"(r,bl)",Sb,3,1.0,"(R1P:)SB(r,bl)b",8 45 56.68 +51 7 6.0,8 45 56.68 +51 7 6.0,131.48616666666663,51.11833333333333,J084556.68+510705.9,131.486196,51.118309,0.048,0.042,135.0,,3,,0000901010020010,2000.2606,3,0.08004,18.399,0.042,16.758,0.005,15.93,0.004,15.523,0.004,15.207,0.009,0.109849
8,46,18.94,+,28,33,36.4,LCSB S1189P,---,6237,0.071,,SA_B,(_rs),Sbc,4,0.75,SA_B(_rs)bc,8 46 18.94 +28 33 36.4,8 46 18.94 +28 33 36.4,131.57891666666666,28.560111111111112,J084618.93+283336.3,131.578905,28.560093,0.048,0.044,32.0,,3,,0000001010021010,2003.0862,3,0.0708,17.746,0.024,16.121,0.004,15.34,0.003,14.917,0.003,14.616,0.006,0.074606
8,46,30.98,+,48,18,9.2,2MASX J08463097+4818090,2314570,94520,0.030,,SAB,(r),S0+,-1,0.5,SAB(r)0^+^,8 46 30.98 +48 18 9.2,8 46 30.98 +48 18 9.2,131.62908333333334,48.30255555555555,J084630.99+481809.1,131.629126,48.302533,0.061,0.046,45.0,,3,,0000901090020010,2001.0711,3,0.02965,17.807,0.022,16.191,0.004,15.432,0.003,15.072,0.003,14.792,0.006,0.130577
8,46,37.64,+,3,42,19.9,2MASX J08463763+0342194,1257133,96739,0.076,(R1P),SAB,(rs),Sa,1,0.5,(R1P)SAB(rs)a,8 46 37.64 +3 42 19.9,8 46 37.64 +3 42 19.9,131.65683333333334,3.7055277777777778,J084637.63+034219.8,131.656828,3.705522,0.047,0.045,6.0,,3,,0000022A90021000,2001.1398,2,0.07606,18.383,0.027,16.819,0.005,16.053,0.004,15.631,0.004,15.331,0.007,0.028614
8,47,8.7,+,19,37,51.8,UGC 04596,24680,50808,0.031,(R1R2P),SA,(rr),Sb,3,0.0,(R1R2P)SA(rr)b,8 47 8.7 +19 37 51.8,8 47 8.7 +19 37 51.8,131.78625,19.631055555555555,J084708.69+193751.7,131.786242,19.63104,0.068,0.061,25.0,,3,,0000001010021310,2004.9511,3,0.0312,17.016,0.014,15.075,0.002,14.23,0.002,13.83,0.002,13.499,0.003,0.062286
8,47,13.14,+,24,56,13.1,2MASX J08471315+2456134,1720630,21172,0.110,(R1R2P),SAB,(s),Sab,2,0.5,(R1R2P)SAB(s)ab,8 47 13.14 +24 56 13.1,8 47 13.14 +24 56 13.1,131.80474999999998,24.936972222222224,J084713.13+245613.0,131.804738,24.936957,0.056,0.052,121.0,,3,,0000901090020110,2004.2115,2,0.11017,19.368,0.092,17.399,0.007,16.392,0.005,15.959,0.004,15.611,0.011,0.067271
8,47,18.64,+,2,45,44.1,CGCG 033-007,24686,25483,0.029,(RP),SA,"(r,l)",Sab,2,0.0,"(RP)SA(r,l)ab",8 47 18.64 +2 45 44.1,8 47 18.64 +2 45 44.1,131.82766666666666,2.76225,J084718.64+024544.1,131.827668,2.762263,0.04,0.033,94.0,,3,,0000000010021010,2001.1394,3,0.02853,17.01,0.014,15.134,0.002,14.298,0.002,13.899,0.002,13.61,0.004,0.046814
8,47,22.72,+,49,33,31.6,UGC 04587,24688,93313,0.010,(RL),SA,(r),S0+,-1,0.0,(RL)SA(r)0^+^,8 47 22.72 +49 33 31.6,8 47 22.72 +49 33 31.6,131.84466666666665,49.55877777777778,J084722.73+493331.6,131.844712,49.55878,0.062,0.041,46.0,,3,,0000001010021010,2000.9071,2,,15.593,0.008,13.841,0.002,13.019,0.002,12.688,0.002,12.425,0.003,0.106196
8,47,30.04,+,53,38,36.4,SDSS J084730.04+533836.3,---,7397,0.114,(R1P),SAB,(l),Sb,3,0.5,(R1P)SAB(l)b,8 47 30.04 +53 38 36.4,8 47 30.04 +53 38 36.4,131.87516666666664,53.64344444444444,J084730.04+533836.4,131.875188,53.643448,0.04,0.038,45.0,,3,,0000000010021210,2000.258,2,0.11456,18.85,0.041,17.37,0.006,16.468,0.004,16.012,0.004,15.693,0.009,0.047519
