RAh,RAM,RAs,DE-,DEd,DEm,DEs,Names,PGCName,FILEN,z,OV,Fam,IV,ST,T,F,CVRHS,RA,coord,RAdeg,DECdeg,SDSS,RAdeg_x,DEdeg,errHalfMaj,errHalfMin,errPosAng,q_mode,cl,m_SDSS,flags,ObsDate,Q,zsp,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,angDist
7,24,20.75,+,42,9,0.6,2MASX J07242070+4209004,2193308,8110,0.057,,SB,"(r,bl)",Sab,2,1.0,"SB(r,bl)ab:",7 24 20.75 +42 9 0.6,7 24 20.75 +42 9 0.6,111.08645833333333,42.150166666666664,J072420.75+420900.5,111.086457,42.150156,0.065,0.05,156.0,,3,,0000001090021110,2003.8858,3,0.05739,18.774,0.067,16.961,0.006,16.055,0.004,15.603,0.004,15.221,0.011,0.038485
7,25,5.49,+,41,25,37.8,2MASX J07250545+4125376,2180937,7884,0.109,(R2PL),SB,(s),Sa,1,1.0,(R2PL)SB(s)a,7 25 5.49 +41 25 37.8,7 25 5.49 +41 25 37.8,111.27287499999998,41.427166666666665,J072505.49+412537.7,111.272875,41.427146,0.067,0.061,156.0,,3,,0000001090021110,2003.8858,3,0.10883,19.701,0.077,17.737,0.007,16.717,0.005,16.263,0.005,15.919,0.011,0.074552
7,27,17.73,+,43,47,5.6,2MASX J07271769+4347053,2229046,9317,0.056,(RP),SA,(l),S0/a,0,0.0,(RP)SA(l)0/a,7 27 17.73 +43 47 5.6,7 27 17.73 +43 47 5.6,111.82387499999999,43.78488888888889,J072717.72+434705.5,111.823858,43.784872,0.065,0.064,164.0,,3,,0000001890021110,2003.9133,3,0.05645,18.326,0.033,16.503,0.004,15.583,0.003,15.068,0.003,14.707,0.006,0.074963
7,28,53.14,+,41,18,28.1,2MASX J07285313+4118282,2179018,7367,0.058,(R1),SAB_a,(rs),S0/a,0,0.5,(R1)SAB_a(rs)0/a,7 28 53.14 +41 18 28.1,7 28 53.14 +41 18 28.1,112.22141666666666,41.307805555555554,J072853.13+411828.0,112.221391,41.307796,0.059,0.053,68.0,,3,,0000001010021010,2003.8395,3,0.05847,18.567,0.051,16.619,0.005,15.673,0.004,15.206,0.003,14.862,0.007,0.077554
7,30,14.69,+,35,51,6.8,2MASX J07301470+3551069,3721760,11644,---,(RP),SB,(r),Sa,1,1.0,(RP)SB(r)a,7 30 14.69 +35 51 6.8,7 30 14.69 +35 51 6.8,112.56120833333331,35.851888888888894,J073014.69+355106.7,112.56121,35.851886,0.062,0.056,154.0,,3,,00000000100A0010,2000.3153,2,,18.551,0.081,16.335,0.006,15.471,0.004,15.071,0.004,14.764,0.011,0.011269
7,31,25.2,+,36,46,31.2,2MASX J07312520+3646309,2086754,9571,0.059,(R2P),S_AB,(l),Sa,1,0.25,(R2P)S_AB(l)a,7 31 25.2 +36 46 31.2,7 31 25.2 +36 46 31.2,112.85499999999998,36.775333333333336,J073125.20+364631.3,112.855021,36.775369,0.058,0.053,61.0,,3,,0000000010020010,2000.2632,3,0.05923,18.369,0.029,16.441,0.004,15.553,0.003,15.112,0.003,14.764,0.006,0.142119
7,31,26.42,+,35,57,32.1,2MASX J07312646+3557323,3721973,9171,---,(R2P),SAB_a,(l),Sa,1,0.5,(R2P)SAB_a(l)a,7 31 26.42 +35 57 32.1,7 31 26.42 +35 57 32.1,112.86008333333331,35.95891666666667,J073126.42+355732.0,112.860094,35.958906,0.061,0.061,0.0,,3,,0000000010020210,2000.2632,3,,17.515,0.014,16.116,0.003,15.366,0.003,14.961,0.003,14.644,0.005,0.049381
7,31,37.6,+,43,29,52.8,2MASX J07313762+4329525,2222182,8904,0.126,(R2P),SAB,(l),S0/a,0,0.5,(R2P)SAB(l)0/a:,7 31 37.6 +43 29 52.8,7 31 37.6 +43 29 52.8,112.90666666666665,43.498,J073137.59+432952.8,112.906636,43.498001,0.062,0.06,69.0,,3,,0000001010021000,2003.9133,3,0.12622,19.908,0.079,17.889,0.007,16.811,0.005,16.341,0.005,15.956,0.012,0.080162
7,32,23.98,+,40,12,45.0,2MASX J07322401+4012443,2162405,6708,0.116,(R1P),SAB,(r),Sab,2,0.5,(R1P)SAB(r)ab:,7 32 23.98 +40 12 45.0,7 32 23.98 +40 12 45.0,113.09991666666664,40.212500000000006,J073223.97+401244.9,113.099888,40.212494,0.066,0.063,59.0,,3,,0000001010000110,2003.8122,3,0.11628,19.048,0.079,17.236,0.007,16.244,0.006,15.814,0.006,15.462,0.014,0.081472
7,34,57.61,+,41,44,25.9,2MASX J07345763+4144261,2186051,5775,0.081,,SA,(rs),Sb,3,0.0,SA(rs)b:,7 34 57.61 +41 44 25.9,7 34 57.61 +41 44 25.9,113.74004166666664,41.74052777777778,J073457.60+414425.9,113.740029,41.740538,0.061,0.057,60.0,,3,,0000001010000110,2003.8095,3,0.08107,19.442,0.118,17.504,0.008,16.625,0.007,16.193,0.007,15.889,0.022,0.049946
7,35,47.18,+,38,10,31.2,2MASX J07354716+3810311,2119877,9585,0.073,(R2P),S_AB,(l),Sa,1,0.25,(R2P)S_AB(l)a:,7 35 47.18 +38 10 31.2,7 35 47.18 +38 10 31.2,113.94658333333332,38.175333333333334,J073547.17+381031.3,113.946576,38.175364,0.057,0.052,61.0,,3,,00000000100A1010,2000.2632,3,0.07264,19.73,0.076,17.75,0.007,16.867,0.005,16.43,0.005,16.092,0.014,0.112334
7,36,31.82,+,38,30,58.3,2MASX J07363185+3830585,3441140,9587,0.073,(RP),SAB,(r),Sab,2,0.5,(RP)SAB(r)ab:,7 36 31.82 +38 30 58.3,7 36 31.82 +38 30 58.3,114.13258333333332,38.516194444444444,J073631.82+383058.3,114.132601,38.516201,0.057,0.052,61.0,,3,,0000100010021110,2000.2632,3,0.07332,18.934,0.053,17.611,0.008,16.793,0.006,16.377,0.006,15.892,0.015,0.055163
7,36,42.51,+,29,18,17.6,2MASX J07364249+2918181,1862128,27499,0.089,(RL),S_AB,(l),S0+,-1,0.25,(RL)S_AB(l)0^+^,7 36 42.51 +29 18 17.6,7 36 42.51 +29 18 17.6,114.17712499999999,29.30488888888889,J073642.50+291817.6,114.177107,29.304911,0.061,0.061,135.0,,3,,0000000010020110,2001.1447,3,0.08899,19.055,0.049,16.954,0.005,15.979,0.004,15.531,0.004,15.191,0.008,0.097495
7,37,46.3,+,46,57,6.4,2MASX J07374632+4657062,3723004,9152,0.127,,SA,(r),Sa,1,0.0,SA(r)a:,7 37 46.3 +46 57 6.4,7 37 46.3 +46 57 6.4,114.44291666666666,46.95177777777778,J073746.31+465706.4,114.442979,46.951783,0.066,0.058,64.0,,3,,0000001010021010,2003.9133,2,0.12717,19.047,0.056,17.607,0.007,16.747,0.005,16.245,0.005,15.882,0.014,0.15454
7,37,53.68,+,29,51,2.9,2MASX J07375367+2951031,1880523,27511,0.097,(R1P),SAB_a,(irpl),Sab,2,0.5,(R1P)SAB_a(irpl)ab,7 37 53.68 +29 51 2.9,7 37 53.68 +29 51 2.9,114.47366666666666,29.850805555555556,J073753.67+295102.9,114.473664,29.850809,0.061,0.061,135.0,,3,,0000000010020110,2001.1447,3,0.09688,18.896,0.056,17.18,0.007,16.245,0.005,15.799,0.005,15.447,0.011,0.014792
7,39,29.81,+,48,5,1.2,2MASX J07392981+4805009,2310166,8154,0.120,,SB,(r),Sb,3,1.0,SB(r)b:,7 39 29.81 +48 5 1.2,7 39 29.81 +48 5 1.2,114.87420833333333,48.083666666666666,J073929.80+480501.1,114.874176,48.083652,0.056,0.046,155.0,,3,,0000901090020110,2003.8859,3,0.1198,19.52,0.077,17.714,0.007,16.627,0.005,16.091,0.005,15.711,0.01,0.093902
7,39,41.88,+,45,54,45.4,2MASX J07394188+4554456,2272351,7685,0.032,(L),SB_a,"(r,bl)",S0/a,0,1.0,"(L)SB_a(r,bl)0/a",7 39 41.88 +45 54 45.4,7 39 41.88 +45 54 45.4,114.9245,45.91261111111111,J073941.87+455445.3,114.924493,45.912609,0.051,0.051,45.0,,3,,0000001010021010,2003.8859,3,0.03201,17.306,0.02,15.272,0.003,14.333,0.002,13.886,0.002,13.513,0.003,0.018966
7,40,2.77,+,30,52,58.1,2MASX J07400274+3052581,1922101,26608,0.096,(RP:),SAB,(r),S0/a,0,0.5,(RP:)SAB(r)0/a,7 40 2.77 +30 52 58.1,7 40 2.77 +30 52 58.1,115.01154166666666,30.882805555555557,J074002.76+305258.1,115.011531,30.882811,0.067,0.051,144.0,,3,,0000000010021010,2001.142,3,0.09652,19.167,0.057,17.704,0.007,16.909,0.006,16.494,0.006,16.17,0.019,0.037948
7,40,13.23,+,29,54,53.6,2MASX J07401321+2954539,1882922,27297,0.035,(R1P),SAB,(rs),Sa,1,0.5,(R1P)SAB(rs)a,7 40 13.23 +29 54 53.6,7 40 13.23 +29 54 53.6,115.05512499999999,29.91488888888889,J074013.23+295453.6,115.055163,29.914892,0.059,0.048,146.0,,3,,0000000010020010,2001.1447,3,0.03507,17.825,0.022,16.012,0.003,15.149,0.003,14.729,0.003,14.375,0.004,0.118797
7,40,18.12,+,28,27,51.5,2MASX J07401809+2827519,3406492,48128,0.022,"(RP,L)",SA,(_rs),Sab,2,0.0,"(RP,L)SA(_rs)ab",7 40 18.12 +28 27 51.5,7 40 18.12 +28 27 51.5,115.07549999999999,28.464305555555555,J074018.11+282751.5,115.075465,28.464329,0.059,0.057,135.0,,3,,0004000010021010,2001.9665,3,,16.248,0.01,15.019,0.002,14.414,0.002,14.101,0.002,13.853,0.004,0.139359
7,41,9.67,+,40,59,56.4,2MASX J07410967+4059563,3087899,9951,0.042,(R1R2P),SAB_a,(l),Sa,1,0.5,(R1R2P)SAB_a(l)a,7 41 9.67 +40 59 56.4,7 41 9.67 +40 59 56.4,115.29029166666666,40.999,J074109.66+405956.3,115.290283,40.998985,0.057,0.056,66.0,,3,,0000000010021130,2000.2632,3,0.04166,18.27,0.029,16.356,0.004,15.458,0.003,15.027,0.003,14.704,0.005,0.058777
7,41,12.11,+,47,27,21.9,2MASX J07411216+4727222,2298536,7940,0.137,,SA,(rl),Sab,2,0.0,SA(rl)ab:,7 41 12.11 +47 27 21.9,7 41 12.11 +47 27 21.9,115.30045833333332,47.45608333333334,J074112.10+472721.8,115.300442,47.456072,0.061,0.055,155.0,,3,,0000901010021110,2003.8859,3,0.13772,19.606,0.099,17.85,0.01,16.639,0.006,16.154,0.005,15.742,0.012,0.057071
7,41,18.54,+,34,13,47.7,SDSS J074118.53+341347.6,4531266,24371,---,(R1P),SB,"(p,_rs,bl)",Sab,2,1.0,"(R1P)SB(p,_rs,bl)ab",7 41 18.54 +34 13 47.7,7 41 18.54 +34 13 47.7,115.32724999999999,34.22991666666667,J074118.53+341347.6,115.327234,34.229914,0.073,0.067,144.0,,3,,00004008100A1010,2001.0714,2,,16.622,0.018,15.012,0.003,14.343,0.003,14.002,0.004,13.865,0.017,0.04853
7,41,40.07,+,47,41,16.9,2MASX J07414006+4741170,3723567,7942,0.134,(R2P),SAB_a,(l),Sab,2,0.5,(R2P)SAB_a(l)ab:,7 41 40.07 +47 41 16.9,7 41 40.07 +47 41 16.9,115.41695833333333,47.688027777777776,J074140.06+474116.9,115.416951,47.688032,0.06,0.055,152.0,,3,,0000001010021010,2003.8859,3,0.13463,20.212,0.09,18.164,0.008,17.092,0.005,16.604,0.005,16.217,0.011,0.023566
7,42,3.7,+,22,54,1.1,2MASX J07420370+2254006,3442895,52605,0.081,(R2P),SB,"(r,bl)",Sb,3,1.0,"(R2P)SB(r,bl)b",7 42 3.7 +22 54 1.1,7 42 3.7 +22 54 1.1,115.51541666666665,22.900305555555555,J074203.70+225401.0,115.515432,22.900285,0.093,0.069,136.0,,3,,0000000010020010,2002.0375,2,0.08108,17.689,0.022,16.147,0.003,15.344,0.003,14.913,0.003,14.613,0.006,0.089547
7,42,16.57,+,48,59,23.8,SDSS J074216.56+485923.7,2330596,8170,0.094,(R1P),SB,(r),Sb,3,1.0,(R1P)SB(r)b:,7 42 16.57 +48 59 23.8,7 42 16.57 +48 59 23.8,115.56904166666665,48.98994444444445,J074216.57+485923.7,115.569049,48.989939,0.056,0.046,152.0,,3,,0000001010000110,2003.8859,2,0.09442,19.386,0.102,17.829,0.01,16.967,0.008,16.501,0.007,16.147,0.021,0.026044
7,42,26.34,+,22,20,54.0,2MASX J07422634+2220541,3442920,52484,0.079,(R1R2P),SAB,(s),Sb,3,0.5,(R1R2P)SAB(s)b,7 42 26.34 +22 20 54.0,7 42 26.34 +22 20 54.0,115.60974999999999,22.348333333333333,J074226.33+222053.9,115.609739,22.348329,0.1,0.077,136.0,,3,,0000100010020310,2002.0375,2,0.07942,19.579,0.06,17.527,0.006,16.58,0.004,16.158,0.004,15.834,0.009,0.039684
7,42,42.49,+,22,42,52.6,2MASX J07424245+2242530,1674859,53028,0.106,,SA,(rl),S0+,-1,0.0,SA(rl)0^+^,7 42 42.49 +22 42 52.6,7 42 42.49 +22 42 52.6,115.67704166666665,22.71461111111111,J074242.48+224252.5,115.677029,22.714594,0.08,0.075,50.0,,3,,0000000010021000,2002.0379,3,0.1058,18.932,0.036,17.406,0.006,16.611,0.005,16.2,0.005,15.919,0.01,0.07477
7,43,28.59,+,50,28,50.5,2MASX J07432851+5028505,2374272,9558,0.126,,SA,(rl),Sbc,4,0.0,SA(rl)bc,7 43 28.59 +50 28 50.5,7 43 28.59 +50 28 50.5,115.86912499999998,50.480694444444445,J074328.58+502850.5,115.869087,50.480703,0.056,0.055,150.0,,3,,0000D01010021110,2003.9133,2,0.12595,19.261,0.128,17.465,0.01,16.52,0.007,16.087,0.008,15.801,0.02,0.092376
7,43,50.34,+,49,36,51.1,IC 0472,21665,9367,0.019,(R),SA_B_a,"(r_s,bl)",Sab,2,0.75,"(R)SA_B_a(r_s,bl)ab",7 43 50.34 +49 36 51.1,7 43 50.34 +49 36 51.1,115.95974999999999,49.61419444444444,J074350.35+493651.1,115.959796,49.614204,0.058,0.058,135.0,,3,,0000901010021210,2003.9133,2,0.01888,16.35,0.015,14.103,0.002,13.181,0.002,12.742,0.002,12.476,0.003,0.112624
7,44,23.51,+,44,31,39.9,2MASX J07442348+4431401,2246264,6749,0.050,(R1P),SB,"(r,bl)",Sa,1,1.0,"(R1P)SB(r,bl)a",7 44 23.51 +44 31 39.9,7 44 23.51 +44 31 39.9,116.09795833333332,44.52775,J074423.50+443139.8,116.097927,44.527736,0.061,0.058,56.0,,3,,0000001010021010,2003.8122,3,0.04968,17.634,0.024,15.676,0.003,14.764,0.003,14.343,0.003,13.995,0.005,0.0948
7,44,52.53,+,37,38,52.7,2MASX J07445255+3738525,2105948,91288,0.074,,SAB,(irpl),S0+,-1,0.5,SAB(irpl)0^+^: pec,7 44 52.53 +37 38 52.7,7 44 52.53 +37 38 52.7,116.218875,37.64797222222222,J074452.52+373852.7,116.218833,37.647973,0.065,0.053,147.0,,3,,0000001010021130,2000.2605,3,0.07407,19.497,0.076,17.718,0.009,16.796,0.006,16.36,0.006,16.068,0.016,0.119831
7,45,7.25,+,46,4,20.7,UGC 04000,21708,6009,0.032,(RP),SAB_a,"(_rs,bl)",Sb,3,0.5,"(RP)SAB_a(_rs,bl)b pec",7 45 7.25 +46 4 20.7,7 45 7.25 +46 4 20.7,116.28020833333332,46.07241666666667,J074507.25+460420.6,116.280214,46.072409,0.051,0.048,144.0,,3,,0000001010020010,2003.8095,3,0.0313,16.482,0.013,14.71,0.002,13.887,0.002,13.452,0.002,13.145,0.003,0.030991
7,45,34.44,+,30,22,19.9,2MASX J07453442+3022206,1901118,47558,0.057,(R),SAB,,S0/a,0,0.5,(R)SAB0/a:,7 45 34.44 +30 22 19.9,7 45 34.44 +30 22 19.9,116.39349999999997,30.372194444444446,J074534.43+302220.0,116.393479,30.372224,0.062,0.05,142.0,,3,,0000000010020110,2001.9642,3,0.05687,18.951,0.047,17.179,0.005,16.152,0.004,15.69,0.004,15.335,0.009,0.124542
7,46,4.02,+,25,37,18.8,2MASX J07460400+2537188,1743278,4111,0.104,(RP),S_AB,,Sab,2,0.25,(RP)S_ABab:,7 46 4.02 +25 37 18.8,7 46 4.02 +25 37 18.8,116.51674999999999,25.62188888888889,J074604.01+253718.8,116.516736,25.621899,0.053,0.051,135.0,,3,,0000001010000010,2001.9692,3,0.10418,19.777,0.075,17.917,0.007,17.003,0.005,16.597,0.005,16.26,0.012,0.058167
7,46,32.93,+,31,1,21.7,2MASX J07463295+3101213,1928128,48325,0.054,(R1),SAB,"(_rs,bl)",Sab,2,0.5,"(R1)SAB(_rs,bl)ab",7 46 32.93 +31 1 21.7,7 46 32.93 +31 1 21.7,116.63720833333332,31.022694444444443,J074632.92+310121.5,116.637181,31.022659,0.065,0.051,141.0,,3,,0000000010021010,2001.9665,3,0.05359,17.603,0.03,15.602,0.003,14.736,0.003,14.3,0.003,13.965,0.004,0.15304
7,47,59.74,+,19,5,40.3,CGCG 087-038,21825,5590,0.045,(RP),SAB,,Sbc,4,0.5,(RP)SABbc pec,7 47 59.74 +19 5 40.3,7 47 59.74 +19 5 40.3,116.99891666666664,19.094527777777778,J074759.74+190540.2,116.998918,19.094521,0.047,0.045,135.0,,3,,0000001010021010,2003.0777,2,0.04483,17.688,0.023,15.777,0.003,14.914,0.002,14.495,0.002,14.141,0.005,0.024692
7,48,2.53,+,18,48,55.6,SDSS J074802.52+184855.5,1571241,6139,0.053,(RPL),S_AB,(l),Sa,1,0.25,(RPL)S_AB(l)a,7 48 2.53 +18 48 55.6,7 48 2.53 +18 48 55.6,117.01054166666665,18.815444444444445,J074802.52+184855.5,117.01053,18.81544,0.049,0.039,129.0,,3,,00000010100A0210,2003.086,2,,19.406,0.045,17.465,0.006,16.675,0.004,16.262,0.004,15.642,0.007,0.042792
7,48,7.16,+,22,37,28.1,2MASX J07480718+2237280,1673295,74381,0.077,(RP),SAB,,Sb,3,0.5,(RP)SABb:,7 48 7.16 +22 37 28.1,7 48 7.16 +22 37 28.1,117.02983333333331,22.624472222222224,J074807.14+223728.1,117.029781,22.624476,0.061,0.055,45.0,,3,,0000000890021010,2002.9305,3,0.07679,17.954,0.022,16.22,0.003,15.339,0.003,14.862,0.003,14.508,0.005,0.174079
7,48,8.87,+,32,49,33.7,2MASX J07480882+3249337,2013808,27533,0.080,,SAB,(_rs),Sa,1,0.5,SAB(_rs)a,7 48 8.87 +32 49 33.7,7 48 8.87 +32 49 33.7,117.03695833333332,32.82602777777778,J074808.87+324933.6,117.036961,32.826009,0.059,0.059,135.0,,3,,0000000010020110,2001.1448,3,0.07982,19.211,0.05,17.113,0.006,16.166,0.004,15.727,0.004,15.391,0.008,0.067983
7,48,25.55,+,17,10,28.7,SDSS J074825.55+171028.6,4081939,9762,0.088,(RP),SA,,Sd,7,0.0,(RP)SAd: pec,7 48 25.55 +17 10 28.7,7 48 25.55 +17 10 28.7,117.10645833333331,17.17463888888889,J074825.55+171028.6,117.106462,17.174625,0.047,0.047,0.0,,3,,0000001010000010,2003.9706,2,0.08797,18.395,0.036,17.276,0.007,16.643,0.006,16.239,0.006,16.033,0.015,0.051431
7,48,44.23,+,52,13,29.7,2MASX J07484418+5213298,2409705,9578,0.069,(RP),SA_B_a,(rl),Sa,1,0.75,(RP)SA_B_a(rl)a,7 48 44.23 +52 13 29.7,7 48 44.23 +52 13 29.7,117.18429166666665,52.224916666666665,J074844.24+521329.7,117.184331,52.224929,0.054,0.053,151.0,,3,,0000001010000010,2003.9133,2,0.06901,18.217,0.042,16.229,0.004,15.275,0.003,14.814,0.003,14.457,0.006,0.097284
7,48,48.28,+,29,50,9.1,2MASX J07484826+2950091,1879940,47282,0.064,(RP),SA,(l),S0/a,0,0.0,(RP)SA(l)0/a,7 48 48.28 +29 50 9.1,7 48 48.28 +29 50 9.1,117.20116666666665,29.83586111111111,J074848.27+295009.1,117.201159,29.835881,0.06,0.055,140.0,,3,,0000900010020010,2001.9642,3,0.06379,18.116,0.028,16.143,0.003,15.234,0.003,14.813,0.003,14.488,0.005,0.075479
7,49,8.89,+,18,7,23.1,2MASX J07490892+1807226,3724484,15735,0.098,(R2P),SAB,(l),Sa,1,0.5,(R2P)SAB(l)a,7 49 8.89 +18 7 23.1,7 49 8.89 +18 7 23.1,117.28704166666665,18.123083333333334,J074908.89+180723.0,117.287054,18.123079,0.04,0.039,29.0,,3,,0000001010020000,2004.1294,3,0.09822,18.911,0.042,17.509,0.006,16.695,0.005,16.253,0.005,15.933,0.012,0.045259
7,49,52.12,+,33,26,7.7,2MASX J07495215+3326082,2031999,27537,0.120,,SA,(rl),S0+,-1,0.0,SA(rl)0^+^:,7 49 52.12 +33 26 7.7,7 49 52.12 +33 26 7.7,117.46716666666664,33.43547222222222,J074952.12+332607.7,117.467201,33.435491,0.059,0.058,165.0,,3,,0000000010021110,2001.1448,3,0.12074,20.07,0.102,17.937,0.008,16.891,0.006,16.455,0.005,16.054,0.013,0.123242
7,49,53.95,+,51,24,11.7,2MASX J07495399+5124115,2393512,9379,0.069,(RP),SA,(l),Sa,1,0.0,(RP)SA(l)a:,7 49 53.95 +51 24 11.7,7 49 53.95 +51 24 11.7,117.47479166666665,51.40325,J074953.95+512411.6,117.474791,51.40323,0.056,0.056,135.0,,3,,0000000010020010,2003.9133,2,0.06873,18.144,0.033,16.421,0.004,15.483,0.003,14.968,0.003,14.588,0.006,0.072187
7,50,0.02,+,30,1,29.8,UGC 04042,21927,47291,0.028,(R1P),SB,"(_rs,bl)",Sab,2,1.0,"(R1P)SB(_rs,bl)ab",7 50 0.02 +30 1 29.8,7 50 0.02 +30 1 29.8,117.50008333333331,30.024944444444444,J075000.02+300129.7,117.500091,30.024942,0.06,0.055,140.0,,3,,0000000010021010,2001.9642,3,0.02758,16.362,0.013,14.568,0.002,13.711,0.002,13.276,0.002,12.97,0.003,0.025638
7,50,21.48,+,33,53,5.8,2MASX J07502145+3353060,2040463,26629,0.062,(RP),SA,(l),Sa,1,0.0,(RP)SA(l)a,7 50 21.48 +33 53 5.8,7 50 21.48 +33 53 5.8,117.58949999999999,33.88494444444444,J075021.47+335305.8,117.589476,33.884954,0.064,0.048,142.0,,3,,00000000100A1010,2001.142,3,0.06223,17.683,0.026,15.727,0.003,14.839,0.003,14.388,0.003,14.049,0.006,0.079218
7,50,49.21,+,41,8,50.8,2MASX J07504920+4108510,2176440,7318,0.087,(RP),SAB,,Sb,3,0.5,(RP)SABb:,7 50 49.21 +41 8 50.8,7 50 49.21 +41 8 50.8,117.70504166666665,41.147444444444446,J075049.20+410850.7,117.705037,41.147439,0.053,0.049,58.0,,3,,0000000090021110,2000.2579,2,0.08725,19.475,0.068,17.835,0.008,16.955,0.006,16.545,0.006,16.203,0.013,0.023149
7,50,52.96,+,21,21,43.1,2MASX J07505294+2121432,1648451,77866,0.121,(RP),SAB,(_rs),Sb,3,0.5,(RP)SAB(_rs)b: pec,7 50 52.96 +21 21 43.1,7 50 52.96 +21 21 43.1,117.72066666666665,21.361972222222224,J075052.96+212143.1,117.720678,21.361983,0.039,0.039,45.0,,3,,0000001010020110,2002.9987,3,0.12111,19.268,0.089,17.515,0.008,16.564,0.006,16.105,0.006,15.709,0.015,0.054371
7,50,56.22,+,48,18,46.0,KUG 0747+484,---,7176,0.022,(RL),SAB_a,(l),S0+,-1,0.5,(RL)SAB_a(l)0^+^,7 50 56.22 +48 18 46.0,7 50 56.22 +48 18 46.0,117.73424999999997,48.312777777777775,J075056.22+481845.9,117.734267,48.312768,0.053,0.041,151.0,,3,,0000001010020010,2003.8122,3,0.02156,17.201,0.014,15.346,0.002,14.469,0.002,14.041,0.002,13.721,0.003,0.053846
7,51,0.59,+,36,43,2.0,2MASX J07510060+3643020,2085645,21768,0.112,(R1),SAB_a,(l),S0+,-1,0.5,(R1)SAB_a(l)0^+^,7 51 0.59 +36 43 2.0,7 51 0.59 +36 43 2.0,117.75245833333332,36.717222222222226,J075100.59+364301.9,117.75247,36.717212,0.057,0.044,144.0,,3,,0000000814020148,2000.9045,2,0.11264,19.716,0.065,17.86,0.008,16.863,0.006,16.425,0.007,16.041,0.013,0.050011
7,51,1.35,+,23,12,32.7,2MASX J07510133+2312331,1683363,74387,0.045,(R1R2P),SA,(l),Sa,1,0.0,(R1R2P)SA(l)a:,7 51 1.35 +23 12 32.7,7 51 1.35 +23 12 32.7,117.75562499999998,23.209083333333332,J075101.34+231232.7,117.755612,23.209098,0.061,0.055,45.0,,3,,0000000810021110,2002.9305,3,0.04461,19.346,0.072,17.138,0.006,16.073,0.004,15.661,0.004,15.479,0.011,0.068267
7,51,28.28,+,33,44,54.3,2MASX J07512829+3344541,2038111,27541,0.148,(RP),SAB,(s),Sb,3,0.5,(RP)SAB(s)b pec,7 51 28.28 +33 44 54.3,7 51 28.28 +33 44 54.3,117.86783333333331,33.74841666666667,J075128.28+334454.4,117.867846,33.748446,0.058,0.057,165.0,,3,,0000000010000110,2001.1448,3,0.14832,19.687,0.088,17.899,0.009,16.878,0.006,16.376,0.006,16.017,0.015,0.112171
7,51,38.74,+,30,24,27.3,2MASX J07513874+3024270,1902561,47786,0.117,(R2P),SAB,(s),Sa,1,0.5,(R2P)SAB(s)a:,7 51 38.74 +30 24 27.3,7 51 38.74 +30 24 27.3,117.91141666666664,30.40758333333333,J075138.73+302427.3,117.911398,30.407602,0.061,0.053,139.0,,3,,0000000010021110,2001.9665,3,0.11702,19.665,0.089,17.669,0.007,16.631,0.005,16.16,0.004,15.794,0.008,0.088745
7,51,53.89,+,19,44,54.2,2MASX J07515386+1944537,3521633,5612,0.061,,SA,"(r,r)",Sb,3,0.0,"SA(r,r)b: pec",7 51 53.89 +19 44 54.2,7 51 53.89 +19 44 54.2,117.97454166666665,19.74838888888889,J075153.89+194454.2,117.974558,19.748397,0.039,0.039,45.0,,3,,0000001010020110,2003.0778,2,0.0616,18.748,0.058,17.009,0.005,16.14,0.004,15.72,0.004,15.411,0.012,0.062905
7,52,0.25,+,16,33,49.5,2MASX J07520023+1633497,3724857,20597,0.055,(R2P),SAB_a,(rl),Sbc,4,0.5,(R2P)SAB_a(rl)bc,7 52 0.25 +16 33 49.5,7 52 0.25 +16 33 49.5,118.00104166666667,16.563750000000002,J075200.24+163349.4,118.001027,16.563739,0.041,0.035,125.0,,3,,0000001010021130,2004.2114,3,0.05506,18.658,0.035,16.824,0.004,15.945,0.003,15.499,0.003,15.148,0.006,0.064099
7,52,8.54,+,14,59,8.5,2MASX J07520855+1459087,1472225,26478,0.056,(R2P),SAB,(l),Sa,1,0.5,(R2P)SAB(l)a,7 52 8.54 +14 59 8.5,7 52 8.54 +14 59 8.5,118.03558333333332,14.985694444444444,J075208.53+145908.5,118.03556,14.985698,0.039,0.034,33.0,,3,,0000001010020010,2004.2906,3,0.05636,18.1,0.028,16.19,0.004,15.326,0.003,14.903,0.003,14.586,0.006,0.082507
7,52,12.77,+,28,46,21.2,2MASX J07521272+2846213,1845492,44525,0.064,,SB,"(r,bl)",Sab,2,1.0,"SB(r,bl)ab pec",7 52 12.77 +28 46 21.2,7 52 12.77 +28 46 21.2,118.05320833333333,28.772555555555556,J075212.76+284621.1,118.053196,28.772551,0.082,0.071,50.0,,3,,0000000010000110,2001.8902,3,0.06371,18.685,0.061,16.539,0.005,15.643,0.004,15.185,0.004,14.861,0.008,0.042452
7,52,19.81,+,17,42,10.4,2MASX J07521978+1742105,1539380,9770,0.097,(R2P),SAB,(l),Sb,3,0.5,(R2P)SAB(l)b,7 52 19.81 +17 42 10.4,7 52 19.81 +17 42 10.4,118.08254166666667,17.70288888888889,J075219.80+174210.3,118.082514,17.702877,0.04,0.04,45.0,,3,,0000001010021310,2003.9706,2,0.09746,19.567,0.068,17.686,0.007,16.671,0.005,16.211,0.005,15.859,0.01,0.103875
