,JID,RAdeg,DEdeg,z,TType,Bar,Ring,FRing,RC3
85,J134208.01-001631.57,205.534,-0.275,0.089,-5.0,0.0,0.0,0.0,999999
86,J135807.05-002332.92,209.53,-0.392,0.03,4.0,0.0,0.0,0.0,999999
88,J140302.42-002007.94,210.761,-0.335,0.06,-2.0,0.0,0.0,0.0,999999
90,J140753.34-001927.75,211.973,-0.324,0.054,-3.0,0.0,0.0,0.0,999999
92,J142731.71-001724.47,216.883,-0.29,0.054,3.0,0.0,0.0,0.0,999999
93,J142911.77-001415.25,217.3,-0.237,0.035,10.0,0.0,0.0,0.0,999999
94,J143816.50-002059.09,219.569,-0.349,0.037,1.0,0.0,0.0,0.0,999999
96,J145216.06-001737.06,223.067,-0.293,0.044,-5.0,0.0,0.0,0.0,999999
97,J150444.18-002107.11,226.185,-0.351,0.055,-5.0,0.0,0.0,0.0,999999
98,J150825.75-001558.55,227.108,-0.266,0.091,-5.0,0.0,0.0,0.0,999999
99,J150952.05-002304.92,227.467,-0.384,0.072,-3.0,0.0,0.0,0.0,999999
100,J151055.76-001924.74,227.733,-0.323,0.073,-5.0,0.0,0.0,0.0,999999
101,J151137.00-001622.60,227.905,-0.272,0.051,5.0,0.0,0.0,0.0,999999
102,J151623.09-001805.14,229.097,-0.301,0.051,-5.0,0.0,0.0,0.0,999999
103,J152024.55-001330.82,230.103,-0.225,0.029,-5.0,0.0,0.0,0.0,999999
104,J152333.98-002345.35,230.892,-0.395,0.029,3.0,0.0,0.0,0.0,999999
105,J152723.65-001507.63,231.849,-0.252,0.038,3.0,0.0,0.0,0.0,999999
106,J152912.73-001507.92,232.304,-0.252,0.089,-5.0,0.0,0.0,0.0,999999
107,J153045.15-002211.53,232.689,-0.369,0.038,2.0,0.0,0.0,0.0,999999
108,J111305.19+000010.93,168.272,0.004,0.04,-5.0,0.0,0.0,0.0,.E+....
109,J111256.28+000955.54,168.235,0.166,0.039,1.0,4.0,0.0,0.0,PSBS5*.
