,JID,RAdeg,DEdeg,z,TType,Bar,Ring,FRing,RC3
3450,J091359.53+521401.12,138.499,52.234,0.048,9.0,0.0,0.0,0.0,999999
3451,J091355.41+521727.25,138.481,52.291,0.029,5.0,8.0,0.0,0.0,999999
3453,J104500.49+594411.49,161.253,59.737,0.045,1.0,0.0,0.0,0.0,999999
3454,J104656.58+595443.27,161.736,59.912,0.02,6.0,0.0,0.0,0.0,999999
3456,J083749.07+472103.26,129.455,47.351,0.03,4.0,0.0,0.0,0.0,999999
3457,J090402.47+512813.77,136.011,51.471,0.042,5.0,0.0,0.0,0.0,999999
3458,J090602.81+514441.08,136.512,51.745,0.03,1.0,0.0,0.0,0.0,999999
3460,J090746.86+520417.71,136.946,52.072,0.063,2.0,0.0,0.0,0.0,999999
3461,J091444.98+525632.66,138.688,52.943,0.026,9.0,72.0,0.0,0.0,999999
3463,J103429.70+594705.69,158.624,59.785,0.091,1.0,0.0,0.0,0.0,999999
3464,J085832.08+511251.92,134.634,51.215,0.074,-5.0,0.0,0.0,0.0,999999
3465,J090328.23+515900.76,135.868,51.984,0.029,5.0,0.0,0.0,0.0,999999
3466,J090430.68+515644.62,136.128,51.946,0.062,99.0,0.0,0.0,0.0,999999
3467,J090342.13+520013.08,135.926,52.004,0.059,1.0,72.0,0.0,0.0,999999
3468,J090435.06+520713.66,136.147,52.121,0.066,-3.0,0.0,0.0,0.0,999999
3469,J090740.50+523712.17,136.919,52.62,0.039,-3.0,0.0,0.0,0.0,999999
3470,J091457.76+532311.22,138.741,53.387,0.029,4.0,0.0,0.0,0.0,999999
3471,J091643.38+533058.91,139.181,53.517,0.058,99.0,0.0,0.0,0.0,999999
3472,J092012.45+540628.72,140.053,54.108,0.012,8.0,0.0,0.0,0.0,999999
3473,J092339.67+542900.61,140.916,54.484,0.012,5.0,0.0,0.0,0.0,.S..9?.
3474,J102824.14+594551.29,157.101,59.765,0.031,-2.0,0.0,0.0,0.0,999999
3475,J103156.13+595855.09,157.984,59.982,0.051,4.0,0.0,0.0,0.0,999999
3476,J104234.25+604149.71,160.643,60.698,0.086,-5.0,0.0,0.0,0.0,999999
3477,J083949.64+484701.76,129.957,48.784,0.04,1.0,0.0,0.0,0.0,999999
3480,J090023.81+520351.36,135.1,52.065,0.032,2.0,4.0,0.0,0.0,999999
3481,J090058.82+521632.44,135.246,52.276,0.063,-3.0,0.0,0.0,0.0,999999
3482,J090836.83+531538.52,137.154,53.261,0.039,0.0,0.0,0.0,0.0,999999
3483,J092122.09+545154.28,140.343,54.865,0.045,-5.0,0.0,0.0,0.0,999999
3484,J092216.96+544917.24,140.571,54.822,0.045,3.0,0.0,0.0,0.0,999999
3486,J094212.58+565225.23,145.553,56.874,0.044,0.0,0.0,0.0,0.0,999999
3488,J101836.31+594010.57,154.652,59.67,0.045,99.0,0.0,0.0,0.0,999999
3489,J102925.99+601744.33,157.359,60.296,0.024,0.0,16.0,0.0,0.0,.S?....
3490,J103550.06+603712.19,158.959,60.62,0.031,0.0,0.0,0.0,0.0,999999
3491,J105217.78+612246.97,163.075,61.38,0.017,-5.0,0.0,0.0,0.0,.L..-*.
3492,J084932.25+505227.09,132.385,50.875,0.028,1.0,8.0,0.0,0.0,999999
3494,J090020.23+522939.42,135.085,52.495,0.031,2.0,0.0,0.0,0.0,.S..3..
3495,J090105.68+523858.04,135.274,52.65,0.03,4.0,72.0,0.0,0.0,999999
3496,J091813.82+545222.10,139.558,54.873,0.047,-5.0,0.0,0.0,0.0,999999
3497,J091824.40+545358.25,139.602,54.9,0.044,1.0,0.0,0.0,0.0,999999
3498,J092029.35+550633.32,140.123,55.11,0.046,4.0,0.0,0.0,0.0,999999
3499,J092518.63+553515.69,141.328,55.588,0.051,-5.0,0.0,0.0,0.0,999999
3500,J092741.11+555502.79,141.922,55.918,0.047,0.0,0.0,0.0,0.0,999999
3503,J101549.06+595755.42,153.955,59.966,0.032,3.0,0.0,0.0,0.0,999999
3505,J103309.13+610416.14,158.289,61.072,0.03,3.0,0.0,0.0,0.0,999999
3506,J102405.35+575927.82,156.023,57.992,0.016,99.0,0.0,0.0,0.0,999999
3507,J103621.24+583712.94,159.089,58.621,0.028,-5.0,0.0,0.0,0.0,.E?....
3508,J104158.59+585927.38,160.495,58.991,0.046,-3.0,0.0,0.0,0.0,999999
3509,J110852.43+600813.98,167.219,60.138,0.046,1.0,0.0,0.0,0.0,999999
3510,J110851.55+600834.90,167.215,60.143,0.045,4.0,4.0,0.0,0.0,999999
3511,J112449.94+603628.06,171.209,60.608,0.017,6.0,8.0,0.0,0.0,999999
3512,J115258.31+611258.17,178.244,61.217,0.011,5.0,0.0,0.0,0.0,.S..6*.
3513,J115733.91+611141.69,179.392,61.195,0.033,3.0,0.0,0.0,0.0,999999
3514,J121156.93+611954.07,182.988,61.332,0.042,4.0,0.0,0.0,0.0,999999
3515,J102314.15+582726.70,155.81,58.458,0.073,3.0,0.0,0.0,0.0,999999
3516,J103245.73+585137.68,158.191,58.861,0.046,0.0,0.0,0.0,0.0,999999
3517,J114001.92+611808.75,175.009,61.303,0.064,3.0,0.0,0.0,0.0,999999
3519,J124122.44+614242.39,190.344,61.712,0.04,3.0,0.0,0.0,0.0,999999
3520,J100454.06+572951.41,151.226,57.498,0.074,-3.0,0.0,0.0,0.0,999999
3521,J101610.23+582537.46,154.043,58.428,0.026,5.0,0.0,0.0,0.0,.S..3..
3522,J101920.30+583013.08,154.835,58.504,0.029,0.0,0.0,0.0,0.0,999999
3524,J103404.63+592412.83,158.52,59.404,0.046,-5.0,0.0,0.0,0.0,999999
3525,J103423.95+592315.35,158.6,59.388,0.044,-5.0,0.0,0.0,0.0,999999
3526,J104941.28+601736.16,162.423,60.294,0.045,2.0,0.0,0.0,0.0,999999
3527,J110623.64+610052.04,166.599,61.015,0.062,-2.0,0.0,0.0,0.0,999999
3528,J111457.68+610914.19,168.741,61.154,0.054,1.0,0.0,0.0,0.0,999999
3529,J111510.12+610637.12,168.793,61.111,0.057,-5.0,0.0,0.0,0.0,999999
3530,J112542.40+613008.54,171.427,61.503,0.061,99.0,0.0,0.0,0.0,999999
3531,J112727.53+612706.75,171.865,61.452,0.048,-3.0,0.0,0.0,0.0,999999
3532,J115644.24+620626.33,179.185,62.108,0.033,3.0,0.0,0.0,0.0,999999
3533,J120314.37+620645.67,180.81,62.113,0.051,-5.0,0.0,0.0,0.0,999999
3534,J120923.61+620956.21,182.349,62.166,0.06,-3.0,0.0,0.0,0.0,999999
3536,J100735.93+581241.57,151.9,58.212,0.08,-5.0,0.0,0.0,0.0,999999
3537,J101526.25+585341.98,153.86,58.895,0.026,1.0,0.0,0.0,0.0,999999
3538,J101913.73+590752.09,154.808,59.132,0.073,1.0,0.0,0.0,0.0,.S..3..
3539,J103408.57+600152.62,158.536,60.032,0.052,1.0,72.0,0.0,0.0,999999
3540,J104250.48+601945.51,160.711,60.33,0.029,4.0,0.0,0.0,0.0,999999
3541,J104415.33+602421.34,161.065,60.406,0.052,0.0,0.0,0.0,0.0,999999
3542,J104416.73+603044.55,161.07,60.513,0.045,3.0,0.0,0.0,0.0,999999
3543,J111306.57+613818.37,168.278,61.639,0.046,-3.0,0.0,0.0,0.0,999999
3544,J111632.70+614553.41,169.137,61.765,0.096,-3.0,0.0,0.0,0.0,999999
3545,J112624.75+615823.16,171.604,61.974,0.069,-3.0,0.0,0.0,0.0,999999
3548,J120907.72+624012.18,182.283,62.671,0.065,-3.0,0.0,0.0,0.0,999999
3549,J121515.29+623425.04,183.814,62.574,0.051,0.0,0.0,0.0,0.0,999999
3552,J110632.65+615415.45,166.637,61.905,0.053,-3.0,0.0,0.0,0.0,999999
3555,J113940.08+623603.93,174.918,62.602,0.033,5.0,0.0,0.0,0.0,999999
3556,J120713.72+625753.88,181.808,62.965,0.04,-5.0,0.0,0.0,0.0,999999
3558,J110924.25+621445.50,167.352,62.246,0.017,6.0,0.0,0.0,0.0,999999
3559,J110951.72+621730.99,167.466,62.292,0.016,5.0,0.0,0.0,0.0,.S?....
3560,J112607.88+624328.54,171.533,62.725,0.064,1.0,0.0,0.0,0.0,999999
3561,J112604.05+624546.67,171.517,62.763,0.064,0.0,0.0,0.0,0.0,999999
3562,J113617.46+630529.02,174.073,63.092,0.048,0.0,0.0,0.0,0.0,999999
3563,J113900.42+630834.52,174.752,63.143,0.011,99.0,0.0,0.0,0.0,999999
3564,J114121.24+630441.46,175.339,63.079,0.047,-3.0,0.0,0.0,0.0,999999
3565,J120715.64+632134.42,181.816,63.36,0.04,3.0,0.0,0.0,0.0,999999
3566,J121655.78+632435.86,184.233,63.41,0.01,6.0,0.0,0.0,0.0,.S..7..
3567,J124129.55+631807.02,190.374,63.302,0.076,-5.0,0.0,0.0,0.0,999999
3568,J001642.53+140221.85,4.178,14.04,0.027,5.0,72.0,0.0,0.0,999999
3569,J002425.94+140410.38,6.109,14.07,0.015,99.0,0.0,0.0,0.0,999999
3570,J002536.50+140655.20,6.403,14.116,0.018,7.0,0.0,0.0,0.0,999999
3572,J002244.61+145659.10,5.686,14.95,0.026,1.0,0.0,0.0,0.0,999999
3573,J002314.86+144834.33,5.812,14.81,0.018,7.0,8.0,0.0,0.0,999999
3575,J002032.65+152050.46,5.137,15.348,0.041,6.0,4.0,0.0,0.0,999999
3576,J002634.91+151924.84,6.646,15.324,0.042,-5.0,0.0,0.0,0.0,999999
3577,J001908.24+154457.59,4.785,15.75,0.037,4.0,72.0,0.0,0.0,.S..2..
3578,J002359.39+154613.55,5.998,15.771,0.018,6.0,0.0,0.0,0.0,.S..6*.
3579,J002556.06+153815.14,6.484,15.638,0.037,2.0,0.0,0.0,0.0,999999
3580,J001504.12+160838.33,3.768,16.144,0.057,-5.0,0.0,0.0,0.0,999999
3581,J001526.84+161407.01,3.862,16.236,0.019,3.0,0.0,0.0,0.0,999999
3582,J001555.68+161457.92,3.983,16.25,0.085,-5.0,0.0,0.0,0.0,999999
3583,J001934.55+161215.04,4.894,16.205,0.037,-3.0,0.0,0.0,0.0,999999
3584,J002257.10+161511.21,5.738,16.254,0.018,5.0,0.0,0.0,0.0,.S..8*.
3586,J095135.00+010643.42,147.896,1.113,0.021,-5.0,0.0,0.0,0.0,999999
3588,J095838.23+010328.74,149.66,1.058,0.047,4.0,8.0,0.0,0.0,.S..6?.
3589,J095850.25+011003.16,149.71,1.168,0.057,3.0,0.0,0.0,0.0,999999
3591,J100624.83+011358.33,151.604,1.233,0.046,0.0,0.0,0.0,0.0,999999
3592,J100631.57+010830.16,151.632,1.142,0.046,-5.0,0.0,0.0,0.0,999999
3593,J084826.55+010357.93,132.111,1.067,0.029,5.0,0.0,0.0,0.0,.S..4..
3595,J084945.83+010037.88,132.441,1.011,0.029,4.0,0.0,0.0,0.0,999999
3596,J085804.94+010913.50,134.521,1.154,0.072,-5.0,0.0,0.0,0.0,999999
3597,J090551.51+010749.99,136.465,1.131,0.053,-3.0,0.0,0.0,0.0,999999
3598,J092015.60+011719.77,140.066,1.289,0.018,-3.0,0.0,0.0,0.0,999999
3599,J092342.93+012057.19,140.929,1.35,0.026,0.0,0.0,0.0,0.0,999999
3601,J094155.11+011907.45,145.48,1.319,0.023,0.0,16.0,0.0,0.0,999999
3603,J100356.91+013044.48,150.988,1.513,0.026,-2.0,0.0,0.0,0.0,999999
3604,J084714.08+012144.64,131.809,1.363,0.04,-5.0,0.0,0.0,0.0,999999
3605,J084828.26+012350.11,132.118,1.398,0.052,1.0,0.0,0.0,0.0,999999
3607,J085044.74+011943.36,132.687,1.329,0.043,0.0,8.0,0.0,0.0,999999
3608,J085907.22+012627.64,134.781,1.442,0.053,-5.0,0.0,0.0,0.0,999999
3610,J091032.93+013556.01,137.638,1.599,0.056,-3.0,0.0,0.0,0.0,999999
3611,J091357.60+013936.49,138.491,1.661,0.056,0.0,0.0,0.0,0.0,999999
3612,J092800.63+014017.37,142.003,1.672,0.059,3.0,0.0,0.0,0.0,999999
3613,J094032.16+014635.38,145.135,1.777,0.05,4.0,0.0,0.0,0.0,999999
3614,J095316.94+015840.40,148.321,1.978,0.021,7.0,0.0,0.0,0.0,999999
3615,J095633.46+015057.19,149.14,1.85,0.033,-2.0,0.0,0.0,0.0,999999
3616,J100438.73+015322.49,151.162,1.89,0.031,-3.0,0.0,0.0,0.0,999999
3617,J084646.04+014950.90,131.692,1.831,0.051,-5.0,0.0,0.0,0.0,999999
3618,J090532.59+020221.99,136.386,2.04,0.052,99.0,0.0,0.0,0.0,999999
3619,J090538.77+020117.06,136.412,2.022,0.052,3.0,0.0,0.0,0.0,999999
3620,J092240.89+020641.54,140.671,2.112,0.058,4.0,0.0,0.0,0.0,999999
3622,J092404.84+020717.67,141.021,2.122,0.037,4.0,0.0,0.0,0.0,999999
3625,J092946.34+020351.67,142.444,2.065,0.025,-5.0,0.0,0.0,0.0,.L..+P*
3626,J093935.45+021842.90,144.898,2.312,0.038,7.0,0.0,0.0,0.0,999999
3627,J094912.35+021611.78,147.302,2.27,0.052,5.0,4.0,0.0,0.0,999999
3628,J095343.85+022226.67,148.433,2.375,0.021,5.0,0.0,0.0,0.0,.S..6*.
3629,J095420.29+021751.25,148.585,2.298,0.021,0.0,0.0,0.0,0.0,999999
3630,J095410.69+021713.88,148.545,2.288,0.025,5.0,0.0,0.0,0.0,999999
3631,J095428.25+022338.92,148.618,2.395,0.033,-3.0,0.0,0.0,0.0,999999
3634,J085309.55+021447.06,133.29,2.247,0.036,0.0,0.0,0.0,0.0,999999
3635,J085414.15+021427.01,133.559,2.241,0.059,-3.0,0.0,0.0,0.0,999999
3636,J091002.97+021944.14,137.513,2.329,0.039,0.0,0.0,0.0,0.0,999999
3637,J092308.12+022909.85,140.784,2.487,0.018,5.0,0.0,0.0,0.0,999999
3638,J092313.37+023604.66,140.806,2.602,0.017,6.0,0.0,0.0,0.0,999999
3640,J093511.56+023419.48,143.799,2.573,0.048,3.0,0.0,0.0,0.0,999999
3641,J093830.67+023423.66,144.628,2.574,0.024,3.0,0.0,0.0,0.0,.S..3..
3642,J094236.54+023416.22,145.653,2.572,0.061,-5.0,0.0,0.0,0.0,999999
3643,J100008.10+024554.48,150.034,2.766,0.029,3.0,2.0,0.0,0.0,999999
3644,J100610.50+025446.36,151.544,2.913,0.023,-5.0,0.0,0.0,0.0,.E...?.
3645,J101105.24+011326.65,152.772,1.225,0.034,3.0,0.0,0.0,0.0,.SBS4P.
3646,J102016.72+011214.59,155.07,1.205,0.066,3.0,4.0,0.0,0.0,999999
3647,J102224.12+011153.62,155.601,1.199,0.022,5.0,0.0,0.0,0.0,.S?....
3648,J102729.48+011448.10,156.873,1.247,0.023,99.0,0.0,0.0,0.0,999999
3649,J104146.80+012312.94,160.446,1.387,0.073,-5.0,0.0,0.0,0.0,999999
3650,J105826.65+012258.49,164.612,1.383,0.041,-5.0,0.0,0.0,0.0,999999
3651,J105838.80+012254.73,164.662,1.382,0.042,-3.0,0.0,0.0,0.0,999999
3652,J110138.79+012448.80,165.412,1.414,0.066,2.0,0.0,0.0,0.0,999999
3655,J111254.26+012216.73,168.227,1.372,0.045,1.0,0.0,0.0,0.0,999999
3657,J112141.92+013114.83,170.425,1.521,0.03,1.0,0.0,0.0,0.0,.E+..*.
3659,J113300.48+013139.52,173.253,1.528,0.03,5.0,0.0,0.0,0.0,999999
3660,J114558.96+013517.71,176.496,1.589,0.076,2.0,4.0,0.0,0.0,999999
3662,J102449.89+014117.78,156.208,1.689,0.035,0.0,0.0,0.0,0.0,999999
3664,J103841.50+014328.21,159.673,1.725,0.056,9.0,0.0,0.0,0.0,999999
3667,J105252.82+015312.69,163.221,1.887,0.04,-5.0,0.0,0.0,0.0,999999
3668,J105307.74+015306.01,163.283,1.886,0.04,3.0,0.0,0.0,0.0,999999
3669,J105908.14+015332.71,164.784,1.893,0.04,5.0,0.0,0.0,0.0,999999
3671,J110001.89+014634.24,165.008,1.777,0.041,-2.0,0.0,0.0,0.0,.LAR-..
3672,J110207.25+014548.35,165.531,1.764,0.039,1.0,0.0,0.0,0.0,999999
3675,J111841.75+015547.95,169.674,1.93,0.075,1.0,0.0,0.0,0.0,999999
3676,J112601.01+015902.89,171.505,1.985,0.023,5.0,8.0,0.0,0.0,.SBT4..
3677,J112907.62+020055.90,172.282,2.016,0.047,3.0,0.0,0.0,0.0,999999
3679,J115143.30+015928.61,177.931,1.992,0.077,4.0,8.0,0.0,0.0,.SBS4*.
3680,J102750.53+020708.73,156.961,2.12,0.023,5.0,0.0,0.0,0.0,999999
3681,J103414.53+020447.38,158.561,2.08,0.068,0.0,0.0,0.0,0.0,999999
3686,J112533.79+021905.07,171.391,2.319,0.064,-3.0,0.0,0.0,0.0,999999
3687,J113056.75+021713.36,172.737,2.288,0.018,6.0,0.0,0.0,0.0,999999
3688,J102750.82+023633.91,156.962,2.61,0.029,1.0,0.0,0.0,0.0,999999
3689,J103321.04+023658.04,158.338,2.617,0.03,5.0,0.0,0.0,0.0,999999
3690,J104159.52+023748.99,160.499,2.631,0.078,-5.0,0.0,0.0,0.0,999999
3691,J104209.42+023614.73,160.54,2.605,0.079,-3.0,0.0,0.0,0.0,999999
3692,J104614.15+023322.12,161.559,2.557,0.019,-3.0,0.0,0.0,0.0,999999
3693,J105813.35+023851.93,164.556,2.648,0.035,5.0,0.0,0.0,0.0,999999
3694,J110233.87+023623.45,165.642,2.607,0.04,4.0,0.0,0.0,0.0,.SBS4P*
3695,J110430.44+024037.85,166.127,2.678,0.04,0.0,0.0,0.0,0.0,.L..-./
3696,J110556.85+024054.38,166.487,2.682,0.04,3.0,0.0,0.0,0.0,.S..2?/
3697,J110702.12+023735.49,166.759,2.627,0.037,-5.0,0.0,0.0,0.0,999999
3699,J110854.72+024035.81,167.229,2.677,0.036,99.0,0.0,0.0,0.0,999999
3700,J112126.73+024448.13,170.362,2.747,0.049,4.0,0.0,0.0,0.0,999999
3702,J112137.61+024138.64,170.407,2.695,0.049,-5.0,0.0,0.0,0.0,999999
3703,J112157.20+024309.84,170.489,2.72,0.048,-5.0,0.0,0.0,0.0,999999
3705,J112310.41+024810.21,170.794,2.803,0.04,-3.0,0.0,0.0,0.0,.LA.0*.
3706,J112359.63+024130.70,170.999,2.692,0.023,4.0,0.0,0.0,0.0,.SXT4*.
3708,J113631.12+024500.12,174.13,2.751,0.048,4.0,0.0,0.0,0.0,.SXR7..
3709,J113801.29+024610.91,174.506,2.77,0.048,-3.0,0.0,0.0,0.0,999999
3710,J114124.33+024247.78,175.352,2.714,0.041,2.0,0.0,0.0,0.0,999999
3711,J114732.06+024715.58,176.884,2.788,0.02,99.0,0.0,0.0,0.0,.LX.0*.
3712,J115336.11+025003.98,178.401,2.835,0.047,1.0,0.0,0.0,0.0,999999
3713,J101640.57+025125.19,154.17,2.857,0.049,4.0,4.0,0.0,0.0,999999
3714,J102728.20+025445.56,156.868,2.913,0.033,-5.0,0.0,0.0,0.0,999999
3717,J110231.79+030646.21,165.633,3.113,0.033,4.0,0.0,0.0,0.0,.SA.2?/
3718,J111112.52+030434.32,167.803,3.077,0.032,3.0,0.0,0.0,0.0,999999
3719,J111117.73+031152.66,167.824,3.198,0.03,-5.0,0.0,0.0,0.0,.E+....
3720,J111159.13+030808.74,167.997,3.136,0.03,-5.0,0.0,0.0,0.0,.E.....
3721,J111201.88+030239.92,168.008,3.045,0.03,-5.0,0.0,0.0,0.0,999999
3722,J111206.77+030836.11,168.029,3.144,0.031,-2.0,0.0,0.0,0.0,999999
3727,J113424.93+031501.46,173.604,3.251,0.029,5.0,0.0,0.0,0.0,999999
3729,J102031.12+031339.67,155.13,3.228,0.062,-3.0,0.0,0.0,0.0,999999
3730,J105206.14+032220.23,163.026,3.373,0.036,-5.0,0.0,0.0,0.0,999999
3731,J105637.65+032411.29,164.157,3.404,0.058,3.0,0.0,0.0,0.0,999999
3732,J110744.62+032616.84,166.936,3.439,0.042,7.0,0.0,0.0,0.0,999999
3733,J110823.96+032952.65,167.1,3.498,0.026,4.0,0.0,0.0,0.0,.SBS3*.
3734,J111005.59+032836.14,167.524,3.477,0.04,99.0,0.0,0.0,0.0,999999
3736,J111725.88+033211.79,169.358,3.537,0.05,-5.0,0.0,0.0,0.0,999999
3737,J111856.45+033527.13,169.736,3.591,0.028,4.0,0.0,0.0,0.0,999999
3738,J112142.43+033424.55,170.427,3.574,0.04,4.0,4.0,0.0,0.0,999999
3739,J112609.44+032953.32,171.54,3.499,0.036,3.0,0.0,0.0,0.0,.SXS3*.
3741,J114953.85+033640.38,177.475,3.612,0.069,0.0,0.0,0.0,0.0,999999
3743,J094633.19+550621.01,146.639,55.106,0.047,0.0,0.0,0.0,0.0,999999
3745,J085458.92+490832.74,133.746,49.143,0.053,-5.0,0.0,0.0,0.0,999999
3746,J085506.05+490922.38,133.776,49.157,0.05,-3.0,0.0,0.0,0.0,999999
3747,J085511.61+490721.74,133.799,49.123,0.053,3.0,0.0,0.0,0.0,999999
3748,J085529.67+492547.31,133.874,49.43,0.052,4.0,0.0,0.0,0.0,999999
3749,J090741.34+511035.72,136.923,51.177,0.016,9.0,0.0,0.0,0.0,999999
3750,J091831.61+522516.96,139.632,52.422,0.026,-3.0,0.0,0.0,0.0,999999
3751,J091841.72+522524.18,139.674,52.424,0.026,-2.0,0.0,0.0,0.0,999999
3752,J093346.28+541852.83,143.443,54.315,0.062,3.0,0.0,0.0,0.0,999999
3753,J093553.17+542837.92,143.972,54.478,0.048,-5.0,0.0,0.0,0.0,999999
3754,J093533.22+542956.96,143.889,54.5,0.061,-3.0,0.0,0.0,0.0,999999
3755,J093558.85+543639.36,143.996,54.611,0.047,-5.0,0.0,0.0,0.0,999999
3756,J094438.10+551415.63,146.159,55.238,0.079,-2.0,0.0,0.0,0.0,999999
3757,J084612.98+482054.30,131.555,48.349,0.03,-5.0,0.0,0.0,0.0,999999
3758,J084639.06+482230.07,131.663,48.375,0.053,-5.0,0.0,0.0,0.0,999999
3761,J090038.15+504042.46,135.16,50.679,0.017,4.0,0.0,0.0,0.0,.S..5..
3762,J090528.84+512449.17,136.371,51.414,0.042,99.0,0.0,0.0,0.0,999999
3763,J090524.31+512736.77,136.352,51.461,0.041,1.0,0.0,0.0,0.0,999999
3764,J090723.66+513428.90,136.849,51.575,0.056,3.0,0.0,0.0,0.0,999999
3766,J091006.37+515442.52,137.527,51.912,0.039,-5.0,0.0,0.0,0.0,999999
3767,J091004.66+520401.66,137.52,52.068,0.039,-5.0,0.0,0.0,0.0,999999
3768,J091500.15+523513.45,138.751,52.588,0.039,-3.0,0.0,0.0,0.0,999999
3769,J091628.74+524913.10,139.12,52.821,0.026,1.0,0.0,0.0,0.0,999999
3771,J092335.82+533607.22,140.9,53.602,0.026,2.0,0.0,0.0,0.0,999999
3772,J093118.36+543505.90,142.827,54.585,0.054,4.0,0.0,0.0,0.0,999999
3774,J094434.95+554546.54,146.146,55.763,0.026,5.0,0.0,0.0,0.0,.SXS5..
3775,J083645.89+472210.24,129.192,47.37,0.053,-2.0,0.0,0.0,0.0,999999
3776,J083644.82+472219.01,129.187,47.372,0.053,-2.0,0.0,0.0,0.0,999999
3777,J085002.18+492840.34,132.51,49.478,0.024,1.0,0.0,0.0,0.0,999999
3778,J090037.42+511227.24,135.156,51.208,0.017,4.0,0.0,0.0,0.0,.S..2..
3779,J090737.60+520654.71,136.907,52.116,0.06,-5.0,0.0,0.0,0.0,999999
3780,J090748.63+521209.94,136.953,52.203,0.061,0.0,0.0,0.0,0.0,999999
3782,J091325.88+525852.95,138.358,52.982,0.026,-5.0,0.0,0.0,0.0,.L..-*.
3783,J091850.49+533315.27,139.711,53.555,0.062,1.0,0.0,0.0,0.0,999999
3784,J092150.24+540336.24,140.46,54.06,0.033,4.0,0.0,0.0,0.0,999999
3786,J085659.25+511955.31,134.247,51.332,0.017,-5.0,0.0,0.0,0.0,.E.1...
3787,J085958.84+514444.78,134.996,51.746,0.059,4.0,4.0,0.0,0.0,999999
3788,J085951.48+514448.12,134.965,51.747,0.058,-5.0,0.0,0.0,0.0,999999
3789,J090754.42+524726.19,136.977,52.791,0.099,-5.0,0.0,0.0,0.0,999999
3791,J092327.37+544946.05,140.865,54.83,0.047,-5.0,0.0,0.0,0.0,999999
3792,J092458.95+545123.32,141.246,54.857,0.047,1.0,0.0,0.0,0.0,999999
3793,J092839.38+551035.37,142.165,55.177,0.049,-3.0,0.0,0.0,0.0,999999
3794,J094830.17+571128.10,147.126,57.192,0.032,-2.0,0.0,0.0,0.0,999999
3795,J083422.69+480517.63,128.595,48.089,0.043,-5.0,0.0,0.0,0.0,999999
3796,J084102.61+492531.01,130.261,49.426,0.011,7.0,0.0,0.0,0.0,999999
3797,J085624.23+515247.20,134.101,51.88,0.017,-2.0,0.0,0.0,0.0,999999
3798,J085705.71+514850.81,134.274,51.815,0.018,5.0,0.0,0.0,0.0,.S..7..
3799,J085636.93+515513.46,134.154,51.921,0.018,-3.0,0.0,0.0,0.0,999999
3800,J092023.42+545631.94,140.098,54.943,0.046,-5.0,0.0,0.0,0.0,999999
3801,J092133.55+550005.41,140.39,55.002,0.047,-2.0,0.0,0.0,0.0,999999
3803,J094814.68+574444.82,147.062,57.746,0.03,-2.0,0.0,0.0,0.0,999999
3804,J095119.85+575627.82,147.833,57.941,0.03,-3.0,0.0,0.0,0.0,999999
3805,J082957.44+445624.49,127.49,44.941,0.043,-3.0,0.0,0.0,0.0,999999
3806,J083123.65+445527.10,127.849,44.925,0.08,-5.0,0.0,0.0,0.0,999999
3807,J083101.79+452900.13,127.758,45.484,0.052,3.0,0.0,0.0,0.0,999999
3808,J081027.81+415658.88,122.616,41.95,0.044,4.0,4.0,0.0,0.0,999999
3809,J081017.93+422419.79,122.575,42.406,0.065,-5.0,0.0,0.0,0.0,999999
3810,J081556.60+435137.71,123.986,43.861,0.06,3.0,0.0,0.0,0.0,999999
3811,J081625.12+435818.65,124.105,43.972,0.021,-2.0,0.0,0.0,0.0,999999
3812,J082814.20+462802.24,127.06,46.468,0.04,3.0,0.0,0.0,0.0,999999
3813,J082247.03+454502.06,125.696,45.751,0.051,4.0,0.0,0.0,0.0,999999
3814,J080959.95+400611.46,122.5,40.104,0.021,5.0,0.0,0.0,0.0,.S..6*.
3815,J081652.80+414354.61,124.221,41.732,0.049,4.0,0.0,0.0,0.0,999999
3816,J082151.31+425202.56,125.464,42.868,0.055,3.0,4.0,0.0,0.0,999999
3817,J073715.72+313110.97,114.316,31.52,0.027,1.0,0.0,0.0,0.0,999999
3818,J073901.44+315452.94,114.757,31.915,0.041,-3.0,0.0,0.0,0.0,999999
3819,J074001.42+321140.50,115.006,32.195,0.028,1.0,0.0,0.0,0.0,999999
3820,J074016.26+321529.92,115.068,32.259,0.014,6.0,0.0,0.0,0.0,999999
3821,J074535.72+335746.63,116.399,33.963,0.063,-5.0,0.0,0.0,0.0,999999
3822,J075315.97+362931.94,118.317,36.493,0.047,4.0,0.0,0.0,0.0,999999
3823,J075412.44+363923.69,118.552,36.657,0.029,99.0,0.0,0.0,0.0,999999
3825,J075828.10+374711.78,119.618,37.787,0.041,-5.0,0.0,0.0,0.0,.L...*.
3827,J075812.79+383207.09,119.554,38.536,0.096,-5.0,0.0,0.0,0.0,999999
3828,J080003.76+385927.42,120.016,38.991,0.078,-3.0,0.0,0.0,0.0,999999
3829,J080412.67+395742.59,121.053,39.962,0.042,0.0,0.0,0.0,0.0,999999
3832,J081019.35+413422.55,122.581,41.573,0.04,5.0,4.0,0.0,0.0,999999
3835,J074642.89+360424.02,116.679,36.074,0.064,-3.0,0.0,0.0,0.0,999999
3836,J074851.63+362325.31,117.216,36.391,0.029,5.0,0.0,0.0,0.0,999999
3837,J075113.18+371813.64,117.805,37.304,0.078,-5.0,0.0,0.0,0.0,999999
